"scientificName","decimalLongitude","decimalLatitude"
"Acanthastrea brevis",47.9533,-13.5069
"Acanthastrea brevis",48.5953,-12.8269
"Acanthastrea brevis",55.4,-21.1
"Acanthastrea brevis",39.6,-8.5
"Acanthastrea brevis",41.4,-1.8
"Acanthastrea brevis",40.7055,-14.3762
"Acanthastrea brevis",71.5,-6.2
"Acanthastrea brevis",53.33,-5.41
"Acanthastrea brevis",49.0675,-12.1075
"Acanthastrea brevis",59.63,-16.61
"Acanthastrea brevis",48.1017,-13.5694
"Acanthastrea brevis",48.9714,-12.2706
"Acanthastrea brevis",46.28,-9.4
"Acanthastrea brevis",40.45,-10.27
"Acanthastrea brevis",48.5525,-13.0383
"Acanthastrea brevis",39.75,-8.1
"Acanthastrea brevis",47.25,-11.55
"Acanthastrea brevis",40.92,-2.36
"Acanthastrea brevis",45.12,-12.78
"Acanthastrea brevis",48.1847,-13.3092
"Acanthastrea brevis",43.4927,-11.9432
"Acanthastrea brevis",48.1617,-13.3228
"Acanthastrea brevis",48.5775,-12.855
"Acanthastrea brevis",51.5,-10.2
"Acanthastrea brevis",49.07,-12.13
"Acanthastrea brevis",43.33,11.5
"Acanthastrea brevis",40.6851,-11.015
"Acanthastrea brevis",39.73,-4.02
"Acanthastrea echinata",146.201,-17.092
"Acanthastrea echinata",48.7033,-12.4583
"Acanthastrea echinata",165.525,11.625
"Acanthastrea echinata",153.27,-27.4933
"Acanthastrea echinata",119.265,-17.35
"Acanthastrea echinata",145.1784,14.1703
"Acanthastrea echinata",145.4174,19.6998
"Acanthastrea echinata",145.4118,19.678
"Acanthastrea echinata",145.8159,18.144
"Acanthastrea echinata",48.1617,-13.3228
"Acanthastrea echinata",120.7448,21.9301
"Acanthastrea echinata",145.6398,18.7924
"Acanthastrea echinata",146.5,-18.6
"Acanthastrea echinata",146.5,-18.55
"Acanthastrea echinata",119.3352,-17.2516
"Acanthastrea echinata",48.1017,-13.5694
"Acanthastrea echinata",149.019,-20.2402
"Acanthastrea echinata",145.2031,14.1785
"Acanthastrea echinata",123.0833,-16.4333
"Acanthastrea echinata",145.454,-14.6454
"Acanthastrea echinata",146.6,-18.68
"Acanthastrea echinata",146.5,-18.58
"Acanthastrea echinata",179.18,-8.5
"Acanthastrea echinata",159.1167,-29.45
"Acanthastrea echinata",145.9482,-16.6373
"Acanthastrea echinata",153.2333,-27.4333
"Acanthastrea echinata",71.5,-6.2
"Acanthastrea echinata",119.2717,-5.0333
"Acanthastrea echinata",73.25,3.75
"Acanthastrea echinata",145.45,-14.647
"Acanthastrea echinata",146.5167,-18.6833
"Acanthastrea echinata",120.769,21.9532
"Acanthastrea echinata",150.0833,-20.95
"Acanthastrea echinata",146.513,-18.682
"Acanthastrea echinata",145.6365,-16.1143
"Acanthastrea echinata",145.3667,-14.3833
"Acanthastrea echinata",145.7417,18.0607
"Acanthastrea echinata",-168.14,-14.55
"Acanthastrea echinata",145.45,-14.6667
"Acanthastrea echinata",146.091,-17.2199
"Acanthastrea echinata",144.101,-11.739
"Acanthastrea echinata",166.5982,19.2977
"Acanthastrea echinata",149.0403,-20.2357
"Acanthastrea echinata",146.3878,-17.7095
"Acanthastrea echinata",145.496,-16.2997
"Acanthastrea echinata",146.48,-18.567
"Acanthastrea echinata",152.42,-21.5
"Acanthastrea echinata",153.3433,-27.5183
"Acanthastrea echinata",145.48,-14.65
"Acanthastrea echinata",145.6595,-16.2878
"Acanthastrea echinata",145.6488,18.8075
"Acanthastrea echinata",63.4203,-19.6783
"Acanthastrea echinata",146,-16.65
"Acanthastrea echinata",166.6512,19.2712
"Acanthastrea echinata",142.17,26.61
"Acanthastrea echinata",-145.7167,-16.0833
"Acanthastrea echinata",48.5775,-12.855
"Acanthastrea echinata",38.29,21.55
"Acanthastrea echinata",40.3937,-3.1873
"Acanthastrea echinata",145.7723,-16.118
"Acanthastrea echinata",145.55,-14.6
"Acanthastrea echinata",150.921,-23.1623
"Acanthastrea echinata",123.03,-12.28
"Acanthastrea echinata",150.9746,-23.2074
"Acanthastrea echinata",145.56,-16.38
"Acanthastrea echinata",148.9057,-20.1455
"Acanthastrea echinata",47.9956,-13.555
"Acanthastrea echinata",145.75,18.0667
"Acanthastrea echinata",148.9167,-20.0333
"Acanthastrea echinata",144.066,-9.912
"Acanthastrea echinata",149.0352,-20.157
"Acanthastrea echinata",145.3922,19.6807
"Acanthastrea echinata",146.62,-18.73
"Acanthastrea echinata",146.077,-17.2033
"Acanthastrea echinata",166.5938,19.3078
"Acanthastrea echinata",149.1057,-20.266
"Acanthastrea echinata",116.5333,-20.55
"Acanthastrea echinata",150.9017,-23.0852
"Acanthastrea echinata",145.6632,18.7267
"Acanthastrea echinata",146.5,-18.67
"Acanthastrea echinata",145.2124,20.0176
"Acanthastrea echinata",146.0916,-17.2195
"Acanthastrea echinata",145.8407,-16.0863
"Acanthastrea echinata",145.5058,-16.3048
"Acanthastrea echinata",144.8,-14.42
"Acanthastrea echinata",146.3845,-17.7137
"Acanthastrea echinata",148.6528,-20.1107
"Acanthastrea echinata",145.5543,-15.7845
"Acanthastrea echinata",129.17,28.13
"Acanthastrea echinata",130.22,31.3
"Acanthastrea echinata",144.0833,-9.9167
"Acanthastrea echinata",113.1,-25.05
"Acanthastrea echinata",150.67,-20.97
"Acanthastrea echinata",145.7442,18.0929
"Acanthastrea echinata",153.4067,-27.47
"Acanthastrea echinata",151.87,-23.47
"Acanthastrea echinata",151.963,-23.47
"Acanthastrea echinata",145.462,-14.6504
"Acanthastrea echinata",150.515,-20.975
"Acanthastrea echinata",152.416,-21.5
"Acanthastrea echinata",73.53,4.18
"Acanthastrea echinata",125.2175,-14.2913
"Acanthastrea echinata",144.8925,13.5044
"Acanthastrea echinata",48.5525,-13.0383
"Acanthastrea echinata",145.7876,15.176
"Acanthastrea echinata",146.0147,-17.1581
"Acanthastrea echinata",166.6429,19.3158
"Acanthastrea echinata",93.517,11.383
"Acanthastrea echinata",150.0833,-20.9667
"Acanthastrea echinata",123.9,-5.8
"Acanthastrea echinata",48.55,-12.8917
"Acanthastrea echinata",145.5842,-16.3319
"Acanthastrea echinata",48.9733,-12.2572
"Acanthastrea echinata",146.0149,-17.1584
"Acanthastrea echinata",146.0125,-17.1632
"Acanthastrea echinata",119.2555,-17.2555
"Acanthastrea echinata",145.447,-14.6989
"Acanthastrea echinata",150.8785,-23.2416
"Acanthastrea echinata",120.7703,21.9519
"Acanthastrea echinata",150.9634,-23.2163
"Acanthastrea echinata",116.7167,-20.6666
"Acanthastrea echinata",48.2347,-13.1914
"Acanthastrea echinata",145.8509,17.3058
"Acanthastrea echinata",151.8,-21.833
"Acanthastrea echinata",145.45,-14.6476
"Acanthastrea echinata",151.7,-23.3
"Acanthastrea echinata",150.9054,-23.0865
"Acanthastrea echinata",55.2306,-20.6153
"Acanthastrea echinata",146.5,-18.6667
"Acanthastrea echinata",43.4927,-11.9432
"Acanthastrea echinata",145.8045,-15.7137
"Acanthastrea echinata",113.7,-28.47
"Acanthastrea echinata",93,10
"Acanthastrea echinata",124.977,-14.4476
"Acanthastrea echinata",162.3956,11.4511
"Acanthastrea echinata",145.7696,15.156
"Acanthastrea echinata",-176.48,0.19
"Acanthastrea echinata",145.6403,18.7574
"Acanthastrea echinata",40.6851,-11.015
"Acanthastrea echinata",146.1958,-17.0607
"Acanthastrea echinata",-161.02,-10.4433
"Acanthastrea echinata",134.5482,7.2623
"Acanthastrea echinata",48.5953,-12.8269
"Acanthastrea echinata",145.461,-14.6999
"Acanthastrea echinata",145.62,-14.58
"Acanthastrea echinata",121.75,-14.01
"Acanthastrea echinata",145.7886,16.6986
"Acanthastrea echinata",148.95,-20.0667
"Acanthastrea echinata",152.42,-21.73
"Acanthastrea echinata",144.8403,13.632
"Acanthastrea echinata",146.2918,-18.1492
"Acanthastrea echinata",48.02,-13.5297
"Acanthastrea echinata",145.6718,-16.214
"Acanthastrea echinata",-149.8392,-17.4747
"Acanthastrea echinata",153.2483,-27.4217
"Acanthastrea echinata",144.07,-9.92
"Acanthastrea echinata",-160.9945,-10.4522
"Acanthastrea echinata",153.375,-27.5
"Acanthastrea echinata",124.9933,-14.475
"Acanthastrea echinata",145.843,-16.0732
"Acanthastrea echinata",145.473,-14.6801
"Acanthastrea echinata",145.7063,15.1081
"Acanthastrea echinata",146.1438,-17.9573
"Acanthastrea echinata",120.8613,21.9078
"Acanthastrea echinata",148.6578,-20.1085
"Acanthastrea echinata",153.4667,-26.9833
"Acanthastrea echinata",145.7712,16.6988
"Acanthastrea echinata",145.7649,18.0966
"Acanthastrea echinata",146.503,-18.657
"Acanthastrea echinata",47.25,-11.55
"Acanthastrea echinata",35.2,-24.35
"Acanthastrea echinata",145.478,-14.6713
