"species","id","genus","family","min.lat","max.lat","med.lat","n","gc.dist","area","mean.size","mean.corallite.size","growth_Veron","depth.lower","depth.upper","IUCN","loc.abundance","clarity.pref","exposure.pref","range.size.Veron","ocean","growth","origin","growth.rate","symbio","clade","larval","strategy"
"Acanthastrea brevis",3,"Acanthastrea",NA,NA,NA,NA,NA,NA,NA,NA,NA,"submassive",20,1,"VU","uncommon","clear","broad",19122851.75,"pacific","colonial",1.89528776986838,NA,"z",NA,"",""
"Acanthastrea echinata",4,"Acanthastrea","Lobophylliidae",-55.533333,33.3699989318848,-16.1180000302588,466,20001.0574118391,114212082.620894,NA,NA,"encrusting",43.3333333333333,8.33333333333333,"LC","common","both","broad",42277168.59,"pacific","colonial",2.47727808303031,NA,"z","C","spawner","stress-tolerant"
"Acanthastrea hemprichi",6,"Acanthastrea","Lobophylliidae",-29.5,35.0800018310547,-13.038332969574,118,14519.2442016849,79868793.5204598,NA,NA,"encrusting",20,2,"VU","uncommon","both","broad",22167887.94,"pacific","colonial",2.811674429,NA,"z","C","",""
"Acanthastrea ishigakiensis",8,"Acanthastrea",NA,NA,NA,NA,NA,NA,NA,NA,NA,"massive",15,1,"VU","uncommon","clear","protected",21818198.49,"pacific","colonial",2.47535686211955,NA,"z",NA,"",""
"Acanthastrea regularis",12,"Acanthastrea",NA,NA,NA,NA,NA,NA,NA,NA,NA,"massive",20,2,"VU","uncommon","clear","protected",12772066.84,"pacific","colonial",2.56281175185912,NA,"z",NA,"",""
"Acanthastrea rotundoflora",13,"Acanthastrea","Lobophylliidae",-17.1636161804199,7.511,-12.891666,15,10403.6655446251,14924500.5079577,NA,NA,"encrusting",30,2,"NT","uncommon","clear","protected",23293042.8,"pacific","colonial",2.47727808303031,NA,"z",NA,"",""
"Acanthastrea subechinata",14,"Acanthastrea","Lobophylliidae",-21.1,25.56833,-11.28248095,26,5579.17174415144,9652417.18622174,NA,NA,"encrusting",35,0,"NT","uncommon","clear","broad",11559186.44,"pacific","colonial",2.11567172215937,NA,"z",NA,"",""
"Acropora abrolhosensis",16,"Acropora","Acroporidae",-28.75,15.1199998855591,-2.014165,102,7600.33251222226,24273737.6137269,533.333333333333,1.5,"branching_open",29.3333333333333,2,"VU","rare","clear","protected",14675273,"pacific","colonial",2.0510166523841,NA,"z","C","spawner",""
"Acropora abrotanoides",17,"Acropora","Acroporidae",-31.55667,26.2000007629395,-12.9249914886474,446,19172.6310562992,75128345.8102677,NA,1.2,"branching_open",20.5,0,"LC","uncommon","clear","exposed",39971751.25,"pacific","colonial",3.87591025313423,127.5,"z",NA,"spawner",""
"Acropora aculeus",18,"Acropora","Acroporidae",-31.533,26.5,-13.90166,907,18495.8257579453,77921438.8893201,40,1,"corymbose",37.4,5.33333333333333,"VU","uncommon","clear","broad",30558281.47,"pacific","colonial",1.06543566288177,NA,"z","C","spawner",""
"Acropora acuminata",19,"Acropora","Acroporidae",-29.93333,28.46667,-7.415,427,18944.708390378,83058775.656648,133.333333333333,1.2,"branching_open",22.5,5,"VU","uncommon","both","broad",29490107.99,"pacific","colonial",1.93903601352788,NA,"z",NA,"",""
"Acropora akajimensis",20,"Acropora",NA,NA,NA,NA,NA,NA,NA,NA,NA,"branching_closed",20,0.5,"DD","rare","clear","exposed",2531097.507,"pacific","colonial",1.3739231726837,NA,"z",NA,"",""
"Acropora anthocercis",21,"Acropora","Acroporidae",-31.55667,30.82055,-13.506945,239,18959.6813088818,85818269.1479647,75,1.3,"corymbose",17.5,5,"VU","uncommon","clear","exposed",32534699.14,"pacific","colonial",1.9100380709495,NA,"z",NA,"spawner",""
"Acropora appressa",22,"Acropora",NA,NA,NA,NA,NA,NA,NA,NA,NA,"branching_closed",15,1,"NT","uncommon","clear","broad",4159356.706,"pacific","colonial",2.36916149932627,NA,"z","C","spawner",""
"Acropora arabensis",23,"Acropora","Acroporidae",-20.3833332061768,29.0799999237061,-12.8269441755982,50,5525.62898903193,1820490.39064609,NA,2,"digitate",11,0.5,"NT","common","clear","exposed",4076597.372,"pacific","colonial",0.55112718077608,NA,"z",NA,"spawner",""
"Acropora arafura",1573,"Acropora","Acroporidae",-12.41667,-12.17667,-12.23333,5,730.833658433795,7854.65010609603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"z",NA,"",""
"Acropora aspera",24,"Acropora","Acroporidae",-31.55,26.5,-14.7064167,458,18502.3498420607,79564931.8871547,NA,1.8,"branching_open",9.33333333333333,0,"VU","uncommon","clear","exposed",30619195.62,"pacific","colonial",3.01610547560649,48.5226,"z","C","spawner","competitive"
"Acropora austera",25,"Acropora","Acroporidae",-31.51833,26.5,-12.89967,845,19655.632100706,86536849.8473605,NA,1.5,"branching_open",24.75,3.75,"NT","common","clear","exposed",38474764.71,"pacific","colonial",1.30159797054609,62.9,"z","C","",""
"Acropora awi",26,"Acropora","Acroporidae",-10.2,7.305,-0.670000016689301,63,7501.32580298105,8783196.49378518,150,1,"hispidose",12.5,0,"VU","uncommon","both","protected",7434259.194,"pacific","colonial",1.08349899373273,NA,"z",NA,"",""
