"scientificName","decimalLongitude","decimalLatitude","depth","symbio"
"Acanthastrea echinata",132.880004883,32.7799987793,NA,"z"
"Acanthastrea echinata",133.300003052,33.3699989319,NA,"z"
"Acanthastrea echinata",132.880004883,32.7799987793,NA,"z"
"Acanthastrea echinata",131.800003052,32.6699981689,NA,"z"
"Acanthastrea echinata",21.116667,-55.533333,NA,"z"
"Acanthastrea echinata",130.029998779,32.5,NA,"z"
"Acanthastrea echinata",21.1166667938,-55.5333328247,NA,"z"
"Acanthastrea echinata",130.300003052,31.25,NA,"z"
"Acanthastrea echinata",132.880004883,32.7799987793,NA,"z"
"Acanthastrea echinata",130.220001221,31.2999992371,NA,"z"
"Acanthastrea hemprichii",132.880004883,32.7799987793,NA,"z"
"Acanthastrea hemprichii",135.5,33.5499992371,NA,"z"
"Acanthastrea hemprichii",134.169998169,33.25,NA,"z"
"Acanthastrea hemprichii",138.199996948,35.0800018311,NA,"z"
"Acanthastrea hemprichii",133.600006104,33.5299987793,NA,"z"
"Acanthastrea hemprichii",131.380004883,31.5300006866,NA,"z"
"Acropora abrotanoides",159.15,-31.46667,NA,"z"
"Acropora abrotanoides",159.083,-31.55,NA,"z"
"Acropora abrotanoides",159.08167,-31.52666,NA,"z"
"Acropora abrotanoides",21.1166667938,-55.5333328247,NA,"z"
"Acropora abrotanoides",159.083,-31.55,NA,"z"
"Acropora abrotanoides",159.05833,-31.53166,NA,"z"
"Acropora abrotanoides",159.083,-31.55,NA,"z"
"Acropora abrotanoides",159.10166,-31.55667,NA,"z"
"Acropora abrotanoides",159.05167,-31.51833,NA,"z"
"Acropora abrotanoides",159.083,-31.55,NA,"z"
"Acropora abrotanoides",159.083,-31.55,NA,"z"
"Acropora abrotanoides",21.116667,-55.533333,NA,"z"
"Acropora abrotanoides",159.149993896,-31.4699993134,NA,"z"
"Acropora abrotanoides",159.07166,-31.55166,NA,"z"
"Acropora abrotanoides",159.08167,-31.52666,NA,"z"
"Acropora abrotanoides",159.055,-31.52,NA,"z"
"Acropora abrotanoides",159.083,-31.55,NA,"z"
"Acropora abrotanoides",159.07166,-31.55166,NA,"z"
"Acropora abrotanoides",159.083,-31.55,NA,"z"
"Acropora abrotanoides",159.07166,-31.55166,NA,"z"
"Acropora abrotanoides",159.06833,-31.51,NA,"z"
"Acropora abrotanoides",159.06833,-31.51,NA,"z"
"Acropora abrotanoides",159.10166,-31.55667,NA,"z"
"Acropora abrotanoides",159.06833,-31.51,NA,"z"
"Acropora abrotanoides",159.04667,-31.52167,NA,"z"
"Acropora abrotanoides",159.083,-31.55,NA,"z"
"Acropora abrotanoides",159.1499939,-31.46999931,NA,"z"
"Acropora abrotanoides",159.10166,-31.55667,NA,"z"
"Acropora abrotanoides",159.055,-31.52,NA,"z"
"Acropora abrotanoides",159.07166,-31.55166,NA,"z"
"Acropora abrotanoides",159.06833,-31.51,NA,"z"
"Acropora abrotanoides",159.07166,-31.55166,NA,"z"
"Acropora abrotanoides",159.05167,-31.51833,NA,"z"
"Acropora abrotanoides",159.15,-31.46667,NA,"z"
"Acropora aculeus",159.066,-31.533,NA,"z"
"Acropora aculeus",159.066,-31.533,NA,"z"
"Acropora anthocercis",159.10166,-31.55667,NA,"z"
"Acropora aspera",159.083,-31.55,NA,"z"
"Acropora austera",159.05167,-31.51833,NA,"z"
"Acropora austera",159.1499939,-31.46999931,NA,"z"
"Acropora austera",159.149993896,-31.4699993134,NA,"z"
"Acropora austera",159.15,-31.46667,NA,"z"
"Acropora cerealis",159.07166,-31.55166,NA,"z"
"Acropora clathrata",159.066,-31.533,NA,"z"
"Acropora clathrata",159.066,-31.533,NA,"z"
"Acropora clathrata",159.066,-31.533,NA,"z"
