"assessmentId","internalTaxonId","scientificName","kingdomName","phylumName","orderName","className","familyName","genusName","speciesName","infraType","infraName","infraAuthority","authority","redlistCategory","redlistCriteria","criteriaVersion","populationTrend","scopes","valid"
3465107,132859,"Oulastrea crispata","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","FAVIIDAE","Oulastrea","crispata",NA,NA,NA,"(Lamarck, 1816)","Least Concern","",3.1,"Unknown","Global","Oulastrea crispata"
3466085,132861,"Calathiscus tantillus","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","PORITIDAE","Calathiscus","tantillus",NA,NA,NA,"Claereboudt &amp; Al-Amri, 2004","Data Deficient","",3.1,"Unknown","Global","Goniopora tantillus"
3466788,132863,"Acropora prostrata","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","ACROPORIDAE","Acropora","prostrata",NA,NA,NA,"(Dana, 1846)","Data Deficient","",3.1,"Decreasing","Global","Acropora millepora"
3467805,132865,"Alveopora japonica","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","PORITIDAE","Alveopora","japonica",NA,NA,NA,"Eguchi, 1968","Vulnerable","A4cd",3.1,"Unknown","Global","Alveopora japonica"
3468128,132866,"Montipora angulata","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","ACROPORIDAE","Montipora","angulata",NA,NA,NA,"(Lamarck, 1816)","Vulnerable","A4ce",3.1,"Decreasing","Global","Montipora angulata"
3468654,132867,"Acropora pectinatus","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","ACROPORIDAE","Acropora","pectinatus",NA,NA,NA,"Veron, 2002","Data Deficient","",3.1,"Decreasing","Global","Acropora pectinata"
3469001,132868,"Goniastrea columella","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","FAVIIDAE","Goniastrea","columella",NA,NA,NA,"Crossland, 1948","Near Threatened","",3.1,"Decreasing","Global","Goniastrea columella"
3470090,132870,"Moseleya latistellata","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","FAVIIDAE","Moseleya","latistellata",NA,NA,NA,"Quelch, 1884","Vulnerable","A4c",3.1,"Decreasing","Global","Moseleya latistellata"
3470484,132871,"Pectinia elongata","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","PECTINIIDAE","Pectinia","elongata",NA,NA,NA,"Rehberg, 1892","Near Threatened","",3.1,"Unknown","Global","Pectinia elongata"
3470903,132872,"Favia vietnamensis","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","FAVIIDAE","Favia","vietnamensis",NA,NA,NA,"Veron, 2002","Near Threatened","",3.1,"Decreasing","Global","Dipsastraea vietnamensis"
3471788,132874,"Scolymia lacera","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","MUSSIDAE","Scolymia","lacera",NA,NA,NA,"(M. Edwards &amp; Haime, 1849)","Least Concern","",3.1,"Unknown","Global","Scolymia lacera"
3472248,132875,"Pocillopora kelleheri","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","POCILLOPORIDAE","Pocillopora","kelleheri",NA,NA,NA,"Veron, 2002","Least Concern","",3.1,"Stable","Global","Pocillopora kelleheri"
3472602,132876,"Leptoseris tubulifera","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","AGARICIIDAE","Leptoseris","tubulifera",NA,NA,NA,"Vaughan, 1907","Least Concern","",3.1,"Unknown","Global","Leptoseris tubulifera"
3472961,132877,"Fungia fralinae","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","FUNGIIDAE","Fungia","fralinae",NA,NA,NA,"Nemenzo, 1955","Least Concern","",3.1,"Unknown","Global","Heliofungia fralinae"
3473842,132879,"Goniopora tenella","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","PORITIDAE","Goniopora","tenella",NA,NA,NA,"(Quelch, 1886)","Near Threatened","",3.1,"Unknown","Global","Goniopora tenella"
3475620,132882,"Acropora japonica","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","ACROPORIDAE","Acropora","japonica",NA,NA,NA,"Veron, 2002","Data Deficient","",3.1,"Decreasing","Global","Acropora japonica"
3476602,132884,"Colpophyllia natans","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","FAVIIDAE","Colpophyllia","natans",NA,NA,NA,"(Houttuyn, 1772)","Least Concern","",3.1,"Stable","Global","Colpophyllia natans"
3477764,132886,"Acropora seriata","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","ACROPORIDAE","Acropora","seriata",NA,NA,NA,"Ehrenberg, 1834","Data Deficient","",3.1,"Decreasing","Global","Acropora seriata"
3479415,132889,"Porites nodifera","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","PORITIDAE","Porites","nodifera",NA,NA,NA,"Klunzinger, 1879","Least Concern","",3.1,"Unknown","Global","Porites nodifera"
3479919,132890,"Catalaphyllia jardinei","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","EUPHYLLIDAE","Catalaphyllia","jardinei",NA,NA,NA,"(Saville-Kent, 1893)","Vulnerable","A4cd",3.1,"Unknown","Global","Catalaphyllia jardinei"
3480480,132891,"Porites duerdeni","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","PORITIDAE","Porites","duerdeni",NA,NA,NA,"Vaughan, 1907","Least Concern","",3.1,"Unknown","Global","Porites duerdeni"
