scientificName,round.long,round.lat,reason
Acropora latistella,-130.1,-35.0667,Probably Pitcairn but too much south by 10°
Acropora verweyi,-130.1,-35.0667,Probably Pitcairn but too much south by 10°
Cladocora arbuscula,18.4386,-34.1889,wrong place (Caribbean only)
Cladocora arbuscula,18.43,-34.18,wrong place (Caribbean only)
Cladocora arbuscula,-53.8667,-37.2833,wrong place (Caribbean only)
Manicina areolata,18.43,-34.18,wrong place (Caribbean only)
Manicina areolata,18.4386,-34.1889,wrong place (Caribbean only)
Stylophora pistillata,18.5,-34.35,wrong place (Indo-Pacific)
Stylophora pistillata,18.43,-34.18,wrong place (Indo-Pacific)
Acropora samoensis,2.9833,39.6167,wrong place
Lithophyllon undulatum,136.8,38.03,wrong place
Polyphyllia talpina,136.8,38.03,wrong place
,,,
