assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
3465107,132859,Oulastrea crispata,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,FAVIIDAE,Oulastrea,crispata,,,,"(Lamarck, 1816)",Least Concern,,3.1,Unknown,Global
3466085,132861,Calathiscus tantillus,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,PORITIDAE,Calathiscus,tantillus,,,,"Claereboudt &amp; Al-Amri, 2004",Data Deficient,,3.1,Unknown,Global
3466788,132863,Acropora prostrata,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,prostrata,,,,"(Dana, 1846)",Data Deficient,,3.1,Decreasing,Global
3467805,132865,Alveopora japonica,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,PORITIDAE,Alveopora,japonica,,,,"Eguchi, 1968",Vulnerable,A4cd,3.1,Unknown,Global
3468128,132866,Montipora angulata,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Montipora,angulata,,,,"(Lamarck, 1816)",Vulnerable,A4ce,3.1,Decreasing,Global
3468654,132867,Acropora pectinatus,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,pectinatus,,,,"Veron, 2002",Data Deficient,,3.1,Decreasing,Global
3469001,132868,Goniastrea columella,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,FAVIIDAE,Goniastrea,columella,,,,"Crossland, 1948",Near Threatened,,3.1,Decreasing,Global
3470090,132870,Moseleya latistellata,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,FAVIIDAE,Moseleya,latistellata,,,,"Quelch, 1884",Vulnerable,A4c,3.1,Decreasing,Global
3470484,132871,Pectinia elongata,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,PECTINIIDAE,Pectinia,elongata,,,,"Rehberg, 1892",Near Threatened,,3.1,Unknown,Global
3470903,132872,Favia vietnamensis,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,FAVIIDAE,Favia,vietnamensis,,,,"Veron, 2002",Near Threatened,,3.1,Decreasing,Global
3471788,132874,Scolymia lacera,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,MUSSIDAE,Scolymia,lacera,,,,"(M. Edwards &amp; Haime, 1849)",Least Concern,,3.1,Unknown,Global
3472248,132875,Pocillopora kelleheri,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,POCILLOPORIDAE,Pocillopora,kelleheri,,,,"Veron, 2002",Least Concern,,3.1,Stable,Global
