valid.name,corallite,branching,extinct,integration,budding,family
Acropora cervicornis,1.7,HB,extant,3,extra,Acroporidae
Acropora palmata,1.6,HB,extant,3,extra,Acroporidae
Acropora panamensis,1.5,LB,extinct,3,extra,Acroporidae
Acropora saludensis,1.5,HB,extinct,3,extra,Acroporidae
Agaricia agaricites,5.5,MB,extant,6,intra,Agariciidae
Agaricia grahamae,6.5,MB,extant,6,intra,Agariciidae
Agaricia lamarcki,7.9,MB,extant,6,intra,Agariciidae
Agaricia undata,6,MB,extant,6,intra,Agariciidae
Agathiphyllia hilli,12,NB,extinct,3,extra,Agathiphylliidae
Alveopora tampae,3,NB,extinct,4,extra,Acroporidae
Antillia dentata,41,NB,extinct,0,intra,Merulinidae
Antillia gregorii,65,NB,extinct,0,intra,Faviidae
Antillocyathus trinitatis,15,NB,extinct,0,extra,Caryophylliidae
Archohelia limonensis,1.5,HB,extinct,1,extra,Oculinidae
Astreopora goethalsi,2,HB,extinct,3,extra,Acroporidae
Astrocoenia incrustans,1.8,NB,extinct,3,extra,Astrocoeniidae
Caulastraea portoricensis,10,HB,extinct,2,intra,Merulinidae
Cladocora arbuscula,2.9,MB,extant,2,extra,Scleractinia incertae sedis
Cladocora johnsoni,2.5,HB,extinct,2,extra,Scleractinia incertae sedis
Colpophyllia breviserialis,10,NB,extant,6,intra,Faviidae
Colpophyllia natans,8.7,NB,extant,6,intra,Faviidae
Dendrogyra cylindricus,10,NB,extant,6,intra,Meandrinidae
Dendrogyra cylindrus,4.2,MB,extant,6,intra,Meandrinidae
Dichocoenia caloosahatcheensis,10,LB,extinct,3,intra,Meandrinidae
Dichocoenia eminens,10,NB,extinct,3,intra,Meandrinidae
Dichocoenia stokesii,4.7,NB,extant,3,intra,Meandrinidae
Dichocoenia tuberosa,10,NB,extinct,3,intra,Meandrinidae
Diploria labyrinthiformis,5.8,NB,extant,6,intra,Faviidae
Diploria sarasotana,10,NB,extinct,6,intra,Faviidae
Diploria zambensis,10,NB,extinct,6,intra,Faviidae
Eusmilia fastigiata,20.9,NB,extant,2,intra,Meandrinidae
Favia dominicensis,10,NB,extinct,3,intra,Faviidae
Favia fragum,5.8,NB,extant,3,intra,Faviidae
Favia maoadentrensis,5,NB,extinct,3,intra,Faviidae
Favia vokesae,5,NB,extinct,3,intra,Faviidae
Galaxea excelsa,5.4,NB,extinct,3,intra,Euphylliidae
