"valid_name","bottom","top","globally.extinct","regionally.extinct","corallite","shape","max_depth","env","branching","range","prop_range"
"Acropora cervicornis",5.3,0,"extant","extant","1","branching_open","60","shallow","HB",1925.49705617384,0.154661886550482
"Acropora palmata",3.5,0,"extant","extant","0.8","branching_open","40","shallow","HB",1926.37384529453,0.154732312967951
"Acropora panamensis",22,1.6,"extinct","extinct","1.5","branching, encrusting","30","shallow","LB",5.90583682060242e-05,4.74375102992216e-09
"Acropora prolifera",0.1,0,"extant","extant","1.8","branching_closed",NA,NA,"HB",NA,NA
"Acropora saludensis",23.7,1.7,"extinct","extinct","2.2","branching","30","shallow","HB",NA,NA
"Agaricia agaricites",8.3,0,"extant","extant","3.1","platy","75","shallow","LB",1896.15841067976,0.152305315686663
"Agaricia agaricites",8.3,0,"extant","extant","3","platy","75","shallow","LB",1896.15841067976,0.152305315686663
"Agaricia grahamae",3.5,0,"extant","extant","2.9","platy","50","deep","LB",90.152994815157,0.00724136773493422
"Agaricia lamarcki",14.1,0,"extant","extant","4.5","platy","76","shallow","LB",91.2483675089902,0.00732935146192094
"Agaricia tenuifolia",5.2,0,"extant","extant","1.9","platy or encrusting masses","18","shallow","LB",NA,NA
"Agaricia undata",14.1,0,"extant","extant","2.9","platy","80","shallow","LB",75.3540408112289,0.00605266991902091
"Agathiphyllia hilli",22,16.2,"extinct","extinct","12","massive",NA,NA,"NB",NA,NA
"Alveopora tampae",23.7,22,"extinct","extinct","3","massive",NA,NA,"NB",NA,NA
"Antiguastrea cellulosa",23.7,15,"extinct","extinct","6","massive",NA,NA,"NB",NA,NA
"Antillia dentata",8.3,1.6,"extinct","extinct","41","solitary, freeliving","50","deep","NB",5.90583682060242e-05,4.74375102992216e-09
"Antillia gregorii",23.7,2.5,"extinct","extinct","65","solitary, freeliving","50","deep","NB",NA,NA
"Antillocyathus trinitatis",10.5,2.5,"extinct","extinct","> 15","massive","50","deep","NB",NA,NA
"Archohelia limonensis",1.9,1.5,"extinct","extinct","","","50","deep","",NA,NA
"Astreopora goethalsi",22,17.6,"extinct","extinct","2","branching",NA,NA,"HB",NA,NA
"Astrocoenia incrustans",22,17.6,"extinct","extinct","1.8","massive",NA,NA,"NB",NA,NA
"Caulastraea portoricensis",5.3,0.1,"extinct","extinct","10","branching","30","shallow","HB",NA,NA
"Cladocora arbuscula",1.6,0,"extant","extant","3","branching_closed","25",NA,"HB",1654.95952827728,0.13293147449245
"Cladocora johnsoni",1.8,1.6,"extinct","extinct","< 3","branching",NA,NA,"HB",0,0
"Colpophyllia natans",5.6,0,"extant","extant",">15","massive","55","shallow","NB",1889.05363426554,0.151734638042561
"Colpophyllia natans",5.6,0,"extant","extant",">15","massive","55","shallow","NB",1889.05363426554,0.151734638042561
"Colpophyllia natans",5.6,0,"extant","extant",">15","massive","55","shallow","NB",1889.05363426554,0.151734638042561
"Dendrogyra cylindricus",5.3,0,"extant","extant","10","massive",NA,NA,"NB",NA,NA
"Dichocoenia caloosahatcheensis",5.3,1.6,"extinct","extinct","10","massive or platy","30","shallow","LB",1208.11470080802,0.0970395141333685
"Dichocoenia eminens",3.5,1.6,"extinct","extinct","10","massive","30","shallow","NB",1143.52600934716,0.09185155041297
"Dichocoenia stokesii",5.3,0,"extant","extant","10","massive or platy","72","shallow","LB",NA,NA
"Dichocoenia stokesii",5.3,0,"extant","extant","4.5","massive","72","shallow","NB",NA,NA
"Dichocoenia tuberosa",14.1,1.5,"extinct","extinct","3","massive","30","shallow","NB",1174.0840065438,0.0943060633817034
"Diploria labyrinthiformis",3.5,0,"extant","extant","10","massive","43","shallow","NB",1896.62392639341,0.152342707350421
"Diploria sarasotana",3.5,3,"extinct","extinct","10","massive","30","shallow","NB",1257.86876561593,0.101035914700211
"Diploria zambensis",7.5,2.5,"extinct","extinct","10","massive","30","shallow","NB",1051.84898127707,0.0844877676072789
"Eusmilia fastigiata",3.5,0,"extant","extant","13","massive","65","shallow","NB",1910.79781141485,0.153481197689909
"Favia dominicensis",17.3,13.1,"extinct","extinct","10","massive","30","shallow","NB",NA,NA
"Favia fragum",3.5,0,"extant","extant","5","massive","30","shallow","NB",1896.62392639341,0.152342707350421
"Favia vokesae",8.3,1.8,"extinct","extinct","5","massive","30","shallow","NB",0,0
"Galaxea excelsa",23.7,5.6,"extinct","extinct","5.4","massive","30","shallow","NB",NA,NA
"Gardineroseris planulata",28.1,1.9,"extant","extinct","4.9","massive","40","shallow","NB",9990.90009195776,0.802500035824553
"Goniastrea canalis",23.7,17.6,"extinct","extinct","2","massive",NA,NA,"NB",NA,NA
"Goniopora calhounensis",18,3.7,"extinct","extinct","5","massive","30","shallow","NB",0,0
"Goniopora hilli",28.1,1.6,"extinct","extinct","10","massive","30","shallow","NB",804.582107549732,0.0646265265581222
"Goniopora imperatoris",23.7,1.6,"extinct","extinct","10","massive","30","shallow","NB",1047.42182405538,0.0841321646289379
"Goniopora panamensis",22,17.6,"extinct","extinct","3.5","massive",NA,NA,"NB",NA,NA
"Hadrophyllia saundersi",7.5,1.6,"extinct","extinct",">15","massive","30","shallow","NB",0,0
"Isophyllia rigida",1.6,0,"extant","extant","20","massive","20","shallow","NB",1896.62392639341,0.152342707350421
"Isophyllia sinuosa",3.5,0,"extant","extant","25","massive","20","shallow","NB",1176.88689612645,0.0945312001531438
"Leptoseris anguillensis",22,16.2,"extinct","extinct","4.5","branching",NA,NA,"HB",NA,NA
"Leptoseris cailleti",7.5,0,"extant","extant","2.3","laminar","150","shallow","MB",NA,NA
"Leptoseris cucullata",5.2,0,"extant","extant","4.6","platy","30","shallow","LB",1042.49537285876,0.0837364568122862
"Leptoseris gardineri",14.1,4.5,"extant","extinct","4.7","laminar","70","shallow","MB",NA,NA
"Leptoseris glabra",14.1,1.9,"extant","extinct","5.2","laminar","60","shallow","MB",0,0
"Leptoseris walli",22,5.3,"extinct","extinct","3","platy",NA,NA,"LB",NA,NA
"Madracis asperula",1.9,0,"extant","extant","3","branching_closed","64","deep","HB",73.311557960887,0.005888611371194
"Madracis decactis",8.3,0,"extant","extant","1.9","digitate","98","shallow","LB",1280.12183620541,0.102823350244645
"Madracis decaseptata",18,3.4,"extinct","extinct","1.7","branching","30","shallow","HB",NA,NA
"Madracis formosa",0.1,0,"extant","extant","1.3","columnar","40",NA,"MB",NA,NA
"Madracis herricki",7.5,3.4,"extinct","extinct","3","branching to nodular","30","shallow","MB",NA,NA
"Madracis mirabilis",14.8,0,"extant","extant","1.6","branching_closed","30","shallow","HB",1066.24093889114,0.0856437742127469
"Madracis pharensis",1.9,0,"extant","extant","< 0.6 ","encrusting","99","deep","LB",74.8132066669894,0.0060092284456669
"Manicina areolata",3.5,0,"extant","extant","15","massive","65","shallow","NB",1258.10254198464,0.101054692342118
"Manicina areolata",3.5,0,"extant","extant","> 15","massive","65","shallow","NB",1258.10254198464,0.101054692342118
"Manicina geisteri",7.5,2.5,"extinct","extinct",">15","massive","50","deep","NB",0,0
"Manicina grandis",8.3,2.5,"extinct","extinct","15","massive","50","deep","NB",8.0751137360278,0.000648618142790356
"Manicina jungi",8.3,2.5,"extinct","extinct","15","massive","50","deep","NB",67.5627629286066,0.00542685035097654
"Manicina puntagordensis",8.3,1.5,"extinct","extinct","> 15","massive","30","shallow","NB",1150.68246327513,0.0924263789550143
"Meandrina brasiliensis",8.3,1.6,"extant","extinct","20","platy or massive","15","shallow","LB",1050.90003505065,0.084411545307617
"Meandrina meandrites",28.1,0,"extant","extant","14","massive","80","shallow","NB",1901.13157960514,0.152704776015967
"Montastraea brevis",7.5,4.5,"extinct","extinct","3.8","massive","30","shallow","NB",NA,NA
"Montastraea canalis",28.1,1.5,"extinct","extinct","5.5","massive","30","shallow","NB",NA,NA
"Montastraea cavernosa",28.1,0,"extant","extant","7.2","massive","95","shallow","NB",1898.65390634591,0.152505761626774
"Montastraea cavernosa",28.1,0,"extant","extant","9","rounded mounds","95","shallow","NB",1898.65390634591,0.152505761626774
"Montastraea cylindrica",14.8,1.5,"extinct","extinct","5","platy or rounded mounds","50","deep","LB",7871.84827517834,0.632291231489853
"Montastraea trinitatis",17.3,3.5,"extinct","extinct","3.5","massive","30","shallow","NB",NA,NA
"Montastrea imperatoris",23.7,13.1,"extant","extinct","3.5","massive",NA,NA,"NB",NA,NA
"Montastrea tampaensis",23.7,16.2,"extinct","extinct","5.5","massive",NA,NA,"NB",NA,NA
"Mussa angulosa",7.5,0,"extant","extant","7","massive","59","shallow","NB",1031.61102522618,0.082862192303115
"Mussismilia hartii",0.2,0.1,"extant","extinct","30","branching",NA,NA,"HB",NA,NA
"Mussismilia hispida",3.5,3,"extant","extinct","15","massive",NA,NA,"NB",1193.22698048916,0.0958436863321427
"Mycetophyllia aliciae",1.9,0,"extant","extant","20","platy or massive","85","deep","LB",0,0
"Mycetophyllia bullbrooki",14.1,3.4,"extinct","extinct","20","platy or massive","30","shallow","LB",0,0
"Mycetophyllia danaana",3.5,0,"extant","extant","20","platy","30","deep","LB",91.2483675089902,0.00732935146192094
"Mycetophyllia ferox",3.5,0,"extant","extant","20","platy","30","deep","LB",92.0713481157353,0.00739545581291204
"Mycetophyllia lamarckiana",2.2,0,"extant","extant","20","platy","30","shallow","LB",1043.15464201818,0.0837894113528365
"Mycetophyllia reesi",2.2,0,"extant","extant","20","platy","76","deep","LB",2.04162855632091,0.000163989928285521
"Orbicella annularis",2.5,0,"extant","extant","3.5","massive","82","shallow","NB",8581.65002965302,0.689304706567317
"Orbicella faveolata",3.5,0,"extant","extant","2.7","massive","40","shallow","NB",1529.15730403552,0.122826650249228
"Orbicella franksi",3.5,0,"extant","extant","3.5","massive","50","shallow","NB",1156.70945642335,0.0929104857094456
"Orbicella limbata",14.8,1.5,"extinct","extinct","10","massive","30","shallow","NB",1068.01338951717,0.0857861429360649
"Pavona panamensis",22,17.6,"extinct","extinct","4","massive or encrusting ",NA,NA,"LB",NA,NA
"Pavona pennyi",10.5,5.3,"extinct","extinct","3.8","massive",NA,NA,"NB",NA,NA
"Pavona trinitatis",14.1,5.3,"extinct","extinct","3","platy",NA,NA,"LB",NA,NA
"Pironastrea anguillensis",22,3.5,"extinct","extinct","5.5","massive","30","shallow","NB",NA,NA
"Placocyathus alveolus",7.5,1.6,"extinct","extinct","> 15","massive","50","deep","NB",5.90583682060242e-05,4.74375102992216e-09
"Placocyathus barretti",5.3,1.6,"extinct","extinct","> 15","massive","30","shallow","NB",832.355423375263,0.0668573652953543
"Placocyathus costatus",8.3,1.6,"extinct","extinct","> 15","massive","50","deep","NB",782.837579402798,0.0628799387175583
"Placocyathus variabilis",17.3,1.1,"extinct","extinct","> 15","free living ","30","shallow","NB",1286.28017026147,0.103318006707539
