valid_name,family
Acropora cervicornis,Acroporidae
Acropora palmata,Acroporidae
Acropora panamensis,Acroporidae
Acropora prolifera,Acroporidae
Acropora saludensis,Acroporidae
Agaricia agaricites,Agariciidae
Agaricia grahamae,Agariciidae
Agaricia lamarcki,Agariciidae
Agaricia tenuifolia,Agariciidae
Agaricia undata,Agariciidae
Agathiphyllia hilli,Faviidae
Alveopora tampae,Acroporidae
Antiguastrea cellulosa,Faviidae
Antillia dentata,Merulinidae
Antillia gregorii,Merulinidae
Antillocyathus trinitatis,Caryophylliidae
Archohelia limonensis,Oculinidae
Astreopora goethalsi,Acroporidae
Astrocoenia incrustans,Astrocoeniidae
Caulastraea portoricensis,Merulinidae
Cladocora arbuscula,Faviidae
Cladocora johnsoni,Faviidae
Colpophyllia natans,Faviidae
Dendrogyra cylindricus,Meandrinidae
Dichocoenia caloosahatcheensis,Pachyphyllidae
Dichocoenia eminens,Pachyphyllidae
Dichocoenia stokesii,Meandrinidae
Dichocoenia tuberosa,Pachyphyllidae
Diploria labyrinthiformis,Faviidae
Diploria sarasotana,Faviidae
Diploria zambensis,Faviidae
Eusmilia fastigiata,Meandrinidae
Favia dominicensis,Faviidae
Favia fragum,Faviidae
Favia vokesae,Faviidae
Galaxea excelsa,Oculinidae
Gardineroseris planulata,Agariciidae
Goniastrea canalis,Merulinidae
Goniopora calhounensis,Poritidae
Goniopora hilli,Poritidae
Goniopora imperatoris,Poritidae
Goniopora panamensis,Poritidae
Hadrophyllia saundersi,Faviidae
Isophyllia rigida,Faviidae
Isophyllia sinuosa,Faviidae
Leptoseris anguillensis,Agariciidae
Leptoseris cailleti,Agariciidae
Leptoseris cucullata,Agariciidae
Leptoseris gardineri,Agariciidae
Leptoseris glabra,Agariciidae
Leptoseris walli,Agariciidae
Madracis asperula,Pocilloporidae
Madracis decactis,Pocilloporidae
Madracis decaseptata,Agariciidae
Madracis formosa,Pocilloporidae
Madracis herricki,Agariciidae
Madracis mirabilis,Agariciidae
Madracis pharensis,Pocilloporidae
Manicina areolata,Faviidae
Manicina geisteri,Faviidae
Manicina grandis,Faviidae
Manicina jungi,Faviidae
Manicina puntagordensis,Faviidae
Meandrina brasiliensis,Meandrinidae
Meandrina meandrites,Meandrinidae
Montastraea brevis,Montastraeidae
Montastraea canalis,Montastraeidae
Montastraea cavernosa,Montastraeidae
Montastraea cylindrica,Montastraeidae
Montastraea trinitatis,Montastraeidae
Montastrea imperatoris,Montastraeidae
Montastrea tampaensis,Faviidae
Mussa angulosa,Faviidae
Mussismilia hartii,Mussidae
Mussismilia hispida,Faviidae
Mycetophyllia aliciae,Faviidae
Mycetophyllia bullbrooki,Mussidae
Mycetophyllia danaana,Faviidae
Mycetophyllia ferox,Faviidae
Mycetophyllia lamarckiana,Faviidae
Mycetophyllia reesi,Faviidae
Orbicella annularis,Merulinidae
Orbicella faveolata,Merulinidae
Orbicella franksi,Merulinidae
Orbicella limbata,Merulinidae
Pavona panamensis,Agariciidae
Pavona pennyi,Agariciidae
Pavona trinitatis,Agariciidae
Pironastrea anguillensis,Siderastreidae
Placocyathus alveolus,Caryophylliidae
Placocyathus barretti,Caryophylliidae
Placocyathus costatus,Caryophylliidae
Placocyathus variabilis,Caryophylliidae
Pocillopora arnoldi,Pocilloporidae
Pocillopora baracoaensis,Pocilloporidae
Pocillopora crassoramosa,Pocilloporidae
Pocillopora palmata,Pocilloporidae
Pocillopora portoricensis,Pocilloporidae
Porites anguillensis,Poritidae
Porites astreoides,Poritidae
Porites baracoaensis,Poritidae
Porites branneri,Poritidae
Porites chipolanum,Poritidae
Porites colonensis,Poritidae
Porites convivatoris,Poritidae
Porites divaricata,Poritidae
Porites furcata,Poritidae
Porites macdonaldi,Poritidae
Porites porites,Poritidae
Porites portoricensis,Poritidae
Porites trinitatis,Poritidae
Porites waylandi,Poritidae
Psammocora trinitatis,Siderastreidae
Pseudodiploria clivosa,Faviidae
Pseudodiploria strigosa,Faviidae
Scolymia cubensis,Faviidae
Scolymia lacera,Faviidae
Siderastrea conferta,Siderastreidae
Siderastrea mendenhalli,Siderastreidae
Siderastrea pliocenica,Siderastreidae
Siderastrea radians,Siderastreidae
Siderastrea siderea,Siderastreidae
Siderastrea silecensis,Siderastreidae
Solenastrea bournoni,Faviidae
Solenastrea hyades,Faviidae
Stephanocoenia duncani,Astrocoeniidae
Stephanocoenia intersepta,Astrocoeniidae
Stephanocoenia spongiformis,Astrocoeniidae
Stylophora affinis,Pocilloporidae
Stylophora canalis,Pocilloporidae
Stylophora granulata,Pocilloporidae
Stylophora imperatoris,Pocilloporidae
Stylophora minor,Pocilloporidae
Stylophora monticulosa,Pocilloporidae
Stylophora undata,Pocilloporidae
Thysanus corbicula,Pocilloporidae
Thysanus excentricus,Faviidae
Thysanus navicula,Pocilloporidae
Trachyphyllia bilobata,Merulinidae
Trachyphyllia sawkinsi,Merulinidae
