valid.name,redlistCategory,corallite,branching,integration,budding,family
Acanthastrea echinata,Least Concern,25,NB,3,both,Lobophylliidae
Acanthastrea minuta,Near Threatened,6.4,NB,3,both,Lobophylliidae
Acanthastrea pachysepta,Near Threatened,32.6,NB,3,both,Lobophylliidae
Acanthastrea subechinata,Near Threatened,12.8,NB,3,both,Lobophylliidae
Acropora abrolhosensis,Vulnerable,1.5,HB,3,extra,Acroporidae
Acropora abrotanoides,Least Concern,1.2,HB,3,extra,Acroporidae
Acropora aculeus,Vulnerable,1,MB,3,extra,Acroporidae
Acropora acuminata,Vulnerable,1.2,HB,3,extra,Acroporidae
Acropora anthocercis,Vulnerable,1.3,LB,3,extra,Acroporidae
Acropora arabensis,Near Threatened,2,LB,3,extra,Acroporidae
Acropora aspera,Vulnerable,1.8,HB,3,extra,Acroporidae
Acropora austera,Near Threatened,1.5,HB,3,extra,Acroporidae
Acropora awi,Vulnerable,1,HB,3,extra,Acroporidae
Acropora batunai,Vulnerable,0.5,LB,3,extra,Acroporidae
Acropora bushyensis,Least Concern,1.5,LB,3,extra,Acroporidae
Acropora carduus,Near Threatened,0.9,HB,3,extra,Acroporidae
Acropora caroliniana,Vulnerable,1,LB,3,extra,Acroporidae
Acropora cerealis,Least Concern,0.8,MB,3,extra,Acroporidae
Acropora cervicornis,Critically Endangered,1.7,HB,3,extra,Acroporidae
Acropora chesterfieldensis,Least Concern,1,MB,3,extra,Acroporidae
Acropora clathrata,Least Concern,0.9,LB,3,extra,Acroporidae
Acropora cytherea,Least Concern,1,LB,3,extra,Acroporidae
Acropora dendrum,Vulnerable,1.2,MB,3,extra,Acroporidae
Acropora derawanensis,Vulnerable,1,HB,3,extra,Acroporidae
Acropora desalwii,Vulnerable,0.8,MB,3,extra,Acroporidae
Acropora digitifera,Near Threatened,1.6,LB,3,extra,Acroporidae
Acropora divaricata,Near Threatened,1.1,LB,3,extra,Acroporidae
Acropora donei,Vulnerable,1.4,HB,3,extra,Acroporidae
Acropora downingi,Least Concern,1,LB,3,extra,Acroporidae
Acropora echinata,Vulnerable,1,HB,3,extra,Acroporidae
Acropora elegans,Vulnerable,0.8,LB,3,extra,Acroporidae
Acropora elseyi,Least Concern,0.9,HB,3,extra,Acroporidae
Acropora florida,Near Threatened,1.4,HB,3,extra,Acroporidae
Acropora gemmifera,Least Concern,1.6,LB,3,extra,Acroporidae
Acropora glauca,Near Threatened,1.3,LB,3,extra,Acroporidae
Acropora globiceps,Vulnerable,2.1,LB,3,extra,Acroporidae
Acropora grandis,Least Concern,1.7,HB,3,extra,Acroporidae
Acropora granulosa,Near Threatened,0.9,LB,3,extra,Acroporidae
Acropora halmaherae,Data Deficient,0.9,HB,3,extra,Acroporidae
Acropora hemprichii,Vulnerable,1.2,HB,3,extra,Acroporidae
Acropora hoeksemai,Vulnerable,1.1,HB,3,extra,Acroporidae
Acropora horrida,Vulnerable,1.5,MB,3,extra,Acroporidae
Acropora humilis,Near Threatened,1.8,LB,3,extra,Acroporidae
Acropora hyacinthus,Near Threatened,1.1,LB,3,extra,Acroporidae
Acropora indonesia,Vulnerable,1,HB,3,extra,Acroporidae
Acropora jacquelineae,Vulnerable,0.5,LB,3,extra,Acroporidae
Acropora japonica,Data Deficient,0.9,LB,3,extra,Acroporidae
Acropora kimbeensis,Vulnerable,0.6,MB,3,extra,Acroporidae
Acropora kirstyae,Vulnerable,0.8,MB,3,extra,Acroporidae
Acropora kosurini,Vulnerable,0.8,HB,3,extra,Acroporidae
Acropora latistella,Least Concern,0.9,MB,3,extra,Acroporidae
