"sp","iucn","corallite","branching","budding","family","integration","max_depth","branching","range"
"Micromussa amakusensis","Near Threatened",5.7,"LB","both","Lobophylliidae",3,30,"LB","12833.1551337246"
"Homophyllia bowerbanki","Vulnerable",25,"NB","intra","Lobophylliidae",4,20,"NB","14273.6647018014"
"Acanthastrea echinata","Least Concern",25,"NB","both","Lobophylliidae",3,50,"NB","20001.0553705966"
"Micromussa lordhowensis","Near Threatened",7.5,"NB","both","Lobophylliidae",3,30,"NB","13126.3735337172"
"Sclerophyllia maxima","Near Threatened",40,"NB","intra","Lobophylliidae",4,15,"NB","1056.09290421323"
"Acanthastrea minuta","Near Threatened",6.4,"NB","both","Lobophylliidae",3,30,"NB","1641.75243450022"
"Acanthastrea subechinata","Near Threatened",12.8,"NB","both","Lobophylliidae",3,35,"NB","12587.8828486988"
"Cynarina lacrymalis","Near Threatened",85,"NB","intra","Lobophylliidae",0,70,"NB","12447.0934644707"
"Acropora abrolhosensis","Vulnerable",1.5,"HB","extra","Acroporidae",3,40,"HB","7600.32977590383"
"Acropora abrotanoides","Least Concern",1.2,"HB","extra","Acroporidae",3,26,"HB","19328.1200364106"
"Acropora aculeus","Vulnerable",1,"MB","extra","Acroporidae",3,60,"MB","18495.8243634107"
"Acropora acuminata","Vulnerable",1.2,"HB","extra","Acroporidae",3,25,"HB","18748.2928699868"
"Acropora donei","Vulnerable",1.4,"HB","extra","Acroporidae",3,45,"HB","14690.8131592692"
"Acropora anthocercis","Vulnerable",1.3,"LB","extra","Acroporidae",3,25,"LB","18955.0451144918"
"Acropora arabensis","Near Threatened",2,"LB","extra","Acroporidae",3,12,"LB","4783.04877409561"
"Acropora aspera","Vulnerable",1.8,"HB","extra","Acroporidae",3,15,"HB","18502.3495041274"
"Acropora austera","Near Threatened",1.5,"HB","extra","Acroporidae",3,40,"MB","19655.6358509197"
"Acropora awi","Vulnerable",1,"HB","extra","Acroporidae",3,20,"HB","7501.32580298105"
"Acropora nana","Near Threatened",1,"MB","extra","Acroporidae",3,15,"MB","18471.1226517445"
"Acropora batunai","Vulnerable",0.5,"LB","extra","Acroporidae",3,45,"LB","4602.61890694883"
"Acropora hyacinthus","Near Threatened",1.1,"LB","extra","Acroporidae",3,26,"LB","19885.9399258889"
"Isopora brueggemanni","Vulnerable",1.6,"HB","extra","Acroporidae",3,35,"HB","11484.9972075477"
"Acropora bushyensis","Least Concern",1.5,"LB","extra","Acroporidae",3,5,"LB","14109.0095667626"
