"fname","youden.train","AUC.train","cutoff.train","youden.test","AUC.test","cutoff.test","cutoff"
"DeepLearning_grid__1_AutoML_20210408_215016_model_5",0.742234772085518,0.871117386042759,0.45,0.42377358490566,0.71188679245283,0.58,0.515
"DeepLearning_grid__3_AutoML_20210408_215016_model_5",0.811365469947559,0.90568273497378,0.46,0.406037735849057,0.703018867924528,0.65,0.555
"DeepLearning_grid__3_AutoML_20210408_215016_model_5",0.811365469947559,0.90568273497378,0.46,0.406037735849057,0.703018867924528,0.66,0.56
"DeepLearning_grid__3_AutoML_20210408_215016_model_5",0.811365469947559,0.90568273497378,0.46,0.406037735849057,0.703018867924528,0.67,0.565
"DeepLearning_grid__3_AutoML_20210408_215016_model_5",0.811365469947559,0.90568273497378,0.46,0.406037735849057,0.703018867924528,0.68,0.57
"DeepLearning_grid__3_AutoML_20210408_215016_model_5",0.811365469947559,0.90568273497378,0.46,0.406037735849057,0.703018867924528,0.69,0.575
"DeepLearning_grid__3_AutoML_20210408_215016_model_5",0.811365469947559,0.90568273497378,0.46,0.406037735849057,0.703018867924528,0.7,0.58
"GBM_2_AutoML_20210408_215016",0.859217426381606,0.929608713190803,0.33,0.399245283018868,0.699622641509434,0.24,0.285
"DeepLearning_grid__1_AutoML_20210408_215016_model_1",0.595250100847116,0.797625050423558,0.34,0.393962264150943,0.696981132075472,0.54,0.44
"DeepLearning_grid__1_AutoML_20210408_215016_model_1",0.595250100847116,0.797625050423558,0.34,0.393962264150943,0.696981132075472,0.55,0.445
"DeepLearning_grid__1_AutoML_20210408_215016_model_1",0.595250100847116,0.797625050423558,0.34,0.393962264150943,0.696981132075472,0.56,0.45
"DeepLearning_grid__1_AutoML_20210408_215016_model_1",0.595250100847116,0.797625050423558,0.34,0.393962264150943,0.696981132075472,0.57,0.455
"DeepLearning_grid__2_AutoML_20210408_215016_model_7",0.507815651472368,0.753907825736184,0.47,0.391698113207547,0.695849056603774,0.6,0.535
"DeepLearning_grid__3_AutoML_20210408_215016_model_2",0.784893102057281,0.892446551028641,0.36,0.381509433962264,0.690754716981132,0.43,0.395
"DeepLearning_grid__1_AutoML_20210408_215016_model_6",0.673961274707543,0.836980637353772,0.35,0.377169811320755,0.688584905660377,0.49,0.42
"DeepLearning_grid__1_AutoML_20210408_215016_model_6",0.673961274707543,0.836980637353772,0.35,0.377169811320755,0.688584905660377,0.5,0.425
"GBM_grid__1_AutoML_20210408_215016_model_2",0.781918112141993,0.890959056070996,0.34,0.375849056603774,0.687924528301887,0.25,0.295
"GBM_grid__1_AutoML_20210408_215016_model_3",0.969594594594595,0.984797297297297,0.33,0.370377358490566,0.685188679245283,0.19,0.26
"GBM_grid__1_AutoML_20210408_215016_model_3",0.969594594594595,0.984797297297297,0.33,0.370377358490566,0.685188679245283,0.2,0.265
"GBM_grid__1_AutoML_20210408_215016_model_3",0.969594594594595,0.984797297297297,0.33,0.370377358490566,0.685188679245283,0.21,0.27
"StackedEnsemble_AllModels_AutoML_20210408_215016",0.917507059298104,0.958753529649052,0.37,0.370377358490566,0.685188679245283,0.31,0.34
"DeepLearning_grid__2_AutoML_20210408_215016_model_4",0.797146026623639,0.898573013311819,0.23,0.362830188679245,0.681415094339623,0.95,0.59
"GBM_4_AutoML_20210408_215016",0.886244453408632,0.943122226704316,0.35,0.359056603773585,0.679528301886792,0.13,0.24
"GBM_grid__1_AutoML_20210408_215016_model_6",0.648446954417104,0.824223477208552,0.35,0.35811320754717,0.679056603773585,0.29,0.32
"DeepLearning_grid__1_AutoML_20210408_215016_model_7",0.480637353771682,0.740318676885841,0.43,0.35622641509434,0.67811320754717,0.65,0.54
"XGBoost_3_AutoML_20210408_215016",0.736738604275918,0.868369302137959,0.3,0.356037735849057,0.678018867924528,0.33,0.315
