"fname","youden.train","AUC.train","cutoff.train","youden.test","AUC.test","cutoff.test","cutoff"
"DeepLearning_grid__1_AutoML_20200309_152139_model_1",0.498186981214504,0.749093490607252,0.27,0.506491258438636,0.753245629219318,0.26,0.265
"StackedEnsemble_AllModels_AutoML_20200309_152139",0.899060725207514,0.949530362603757,0.29,0.499394149212394,0.749697074606197,0.21,0.25
"GBM_4_AutoML_20200309_152139",0.888859764089122,0.944429882044561,0.32,0.496278345161849,0.748139172580924,0.3,0.31
"GBM_grid__1_AutoML_20200309_152139_model_4",0.984709480122324,0.992354740061162,0.32,0.487104033235243,0.743552016617622,0.3,0.31
"DeepLearning_grid__1_AutoML_20200309_152139_model_7",0.447247706422018,0.723623853211009,0.3,0.487104033235243,0.743552016617622,0.36,0.33
"GBM_1_AutoML_20200309_152139",0.924530362603757,0.962265181301879,0.37,0.486065431885061,0.743032715942531,0.31,0.34
"StackedEnsemble_BestOfFamily_AutoML_20200309_152139",0.926583660987331,0.963291830493665,0.32,0.47948762333391,0.739743811666955,0.23,0.275
"StackedEnsemble_BestOfFamily_AutoML_20200309_152139",0.926583660987331,0.963291830493665,0.33,0.47948762333391,0.739743811666955,0.23,0.28
"XGBoost_grid__1_AutoML_20200309_152139_model_4",0.644058540847532,0.822029270423766,0.34,0.477410420633547,0.738705210316773,0.34,0.34
"GBM_grid__1_AutoML_20200309_152139_model_9",0.888859764089122,0.944429882044561,0.32,0.469794010732214,0.734897005366107,0.24,0.28
"GBM_3_AutoML_20200309_152139",0.87865880297073,0.939329401485365,0.33,0.467716808031851,0.733858404015925,0.3,0.315
"GBM_3_AutoML_20200309_152139",0.87865880297073,0.939329401485365,0.33,0.467716808031851,0.733858404015925,0.31,0.32
"GBM_3_AutoML_20200309_152139",0.87865880297073,0.939329401485365,0.33,0.467716808031851,0.733858404015925,0.32,0.325
"DeepLearning_grid__2_AutoML_20200309_152139_model_5",0.73481869812145,0.867409349060725,0.18,0.464774104206335,0.732387052103168,0.06,0.12
"XRT_1_AutoML_20200309_152139",0.984709480122324,0.992354740061162,0.36,0.458542496105245,0.729271248052622,0.27,0.315
"XRT_1_AutoML_20200309_152139",0.984709480122324,0.992354740061162,0.36,0.458542496105245,0.729271248052622,0.28,0.32
"XRT_1_AutoML_20200309_152139",0.984709480122324,0.992354740061162,0.37,0.458542496105245,0.729271248052622,0.27,0.32
"XRT_1_AutoML_20200309_152139",0.984709480122324,0.992354740061162,0.37,0.458542496105245,0.729271248052622,0.28,0.325
"XRT_1_AutoML_20200309_152139",0.984709480122324,0.992354740061162,0.38,0.458542496105245,0.729271248052622,0.27,0.325
"XRT_1_AutoML_20200309_152139",0.984709480122324,0.992354740061162,0.38,0.458542496105245,0.729271248052622,0.28,0.33
"XRT_1_AutoML_20200309_152139",0.984709480122324,0.992354740061162,0.39,0.458542496105245,0.729271248052622,0.27,0.33
"XRT_1_AutoML_20200309_152139",0.984709480122324,0.992354740061162,0.39,0.458542496105245,0.729271248052622,0.28,0.335
"XRT_1_AutoML_20200309_152139",0.984709480122324,0.992354740061162,0.4,0.458542496105245,0.729271248052622,0.27,0.335
"XRT_1_AutoML_20200309_152139",0.984709480122324,0.992354740061162,0.4,0.458542496105245,0.729271248052622,0.28,0.34
"XRT_1_AutoML_20200309_152139",0.984709480122324,0.992354740061162,0.41,0.458542496105245,0.729271248052622,0.27,0.34
"XRT_1_AutoML_20200309_152139",0.984709480122324,0.992354740061162,0.41,0.458542496105245,0.729271248052622,0.28,0.345
"XRT_1_AutoML_20200309_152139",0.984709480122324,0.992354740061162,0.42,0.458542496105245,0.729271248052622,0.27,0.345
"XRT_1_AutoML_20200309_152139",0.984709480122324,0.992354740061162,0.42,0.458542496105245,0.729271248052622,0.28,0.35
"XRT_1_AutoML_20200309_152139",0.984709480122324,0.992354740061162,0.43,0.458542496105245,0.729271248052622,0.27,0.35
