"fname","youden.train","AUC.train","cutoff.train","youden.test","AUC.test","cutoff.test","cutoff"
"DeepLearning_grid__2_AutoML_20200429_085534_model_4",0.444074876237624,0.722037438118812,0.21,0.342611619652531,0.671305809826266,0.21,0.21
"DeepLearning_grid__2_AutoML_20200429_085534_model_4",0.444074876237624,0.722037438118812,0.21,0.342611619652531,0.671305809826266,0.22,0.215
"DeepLearning_grid__3_AutoML_20200429_085534_model_2",0.53661303630363,0.768306518151815,0.35,0.333644685223239,0.66682234261162,0.37,0.36
"DeepLearning_grid__3_AutoML_20200429_085534_model_2",0.53661303630363,0.768306518151815,0.35,0.333644685223239,0.66682234261162,0.38,0.365
"DeepLearning_grid__3_AutoML_20200429_085534_model_7",0.643100247524752,0.821550123762376,0.32,0.329908462544368,0.664954231272184,0.09,0.205
"DeepLearning_grid__3_AutoML_20200429_085534_model_7",0.643100247524752,0.821550123762376,0.33,0.329908462544368,0.664954231272184,0.09,0.21
"DeepLearning_grid__2_AutoML_20200429_085534_model_5",0.429120255775578,0.714560127887789,0.36,0.329908462544368,0.664954231272184,0.34,0.35
"DeepLearning_grid__3_AutoML_20200429_085534_model_3",0.44286303630363,0.721431518151815,0.21,0.326545862133383,0.663272931066692,0.27,0.24
"DeepLearning_grid__3_AutoML_20200429_085534_model_3",0.44286303630363,0.721431518151815,0.21,0.326545862133383,0.663272931066692,0.28,0.245
"GBM_grid__1_AutoML_20200429_085534_model_7",0.408647896039604,0.704323948019802,0.29,0.325611806463665,0.662805903231833,0.31,0.3
"DeepLearning_grid__1_AutoML_20200429_085534_model_5",0.434509075907591,0.717254537953795,0.18,0.324677750793947,0.662338875396974,0.27,0.225
"StackedEnsemble_AllModels_AutoML_20200429_085534",0.674015057755776,0.837007528877888,0.33,0.320007472445358,0.660003736222679,0.21,0.27
"GLM_1_AutoML_20200429_085534",0.383328176567657,0.691664088283828,0.28,0.317205305436204,0.658602652718102,0.21,0.245
"XGBoost_grid__1_AutoML_20200429_085534_model_4",0.671591377887789,0.835795688943894,0.35,0.316644872034373,0.658322436017187,0.32,0.335
"StackedEnsemble_BestOfFamily_AutoML_20200429_085534",0.685463077557756,0.842731538778878,0.25,0.314776760694937,0.657388380347469,0.22,0.235
"DeepLearning_grid__1_AutoML_20200429_085534_model_7",0.426902846534654,0.713451423267327,0.34,0.314776760694937,0.657388380347469,0.35,0.345
"DeepLearning_grid__1_AutoML_20200429_085534_model_1",0.36891501650165,0.684457508250825,0.46,0.310480104614235,0.655240052307117,0.53,0.495
"DeepLearning_grid__2_AutoML_20200429_085534_model_2",0.52152949669967,0.760764748349835,0.83,0.307677937605081,0.653838968802541,0.83,0.83
"DeepLearning_grid__1_AutoML_20200429_085534_model_3",0.437474216171617,0.718737108085809,0.12,0.30394171492621,0.651970857463105,0.13,0.125
"DeepLearning_grid__2_AutoML_20200429_085534_model_7",0.470606435643564,0.735303217821782,0.38,0.303007659256492,0.651503829628246,0.42,0.4
"DeepLearning_grid__2_AutoML_20200429_085534_model_7",0.470606435643564,0.735303217821782,0.38,0.303007659256492,0.651503829628246,0.43,0.405
"DeepLearning_grid__2_AutoML_20200429_085534_model_7",0.470606435643564,0.735303217821782,0.39,0.303007659256492,0.651503829628246,0.42,0.405
"DeepLearning_grid__2_AutoML_20200429_085534_model_7",0.470606435643564,0.735303217821782,0.39,0.303007659256492,0.651503829628246,0.43,0.41
"XGBoost_grid__1_AutoML_20200429_085534_model_3",0.4574824669967,0.72874123349835,0.36,0.302447225854661,0.65122361292733,0.37,0.365
"XGBoost_grid__1_AutoML_20200429_085534_model_1",0.670173267326733,0.835086633663366,0.3,0.301139547917056,0.650569773958528,0.22,0.26
"DeepLearning_grid__3_AutoML_20200429_085534_model_4",0.5277949669967,0.76389748349835,0.47,0.300579114515225,0.650289557257613,0.57,0.52
"XGBoost_grid__1_AutoML_20200429_085534_model_2",0.41478444719472,0.70739222359736,0.36,0.299645058845507,0.649822529422754,0.35,0.355
"GBM_1_AutoML_20200429_085534",0.756188118811881,0.878094059405941,0.35,0.296469269568466,0.648234634784233,0.14,0.245
"DeepLearning_1_AutoML_20200429_085534",0.376263407590759,0.688131703795379,0.45,0.292546235755651,0.646273117877825,0.45,0.45
"DeepLearning_1_AutoML_20200429_085534",0.376263407590759,0.688131703795379,0.45,0.292546235755651,0.646273117877825,0.46,0.455
"DeepLearning_1_AutoML_20200429_085534",0.376263407590759,0.688131703795379,0.46,0.292546235755651,0.646273117877825,0.45,0.455
"DeepLearning_1_AutoML_20200429_085534",0.376263407590759,0.688131703795379,0.46,0.292546235755651,0.646273117877825,0.46,0.46
"XGBoost_1_AutoML_20200429_085534",0.430203176567657,0.715101588283828,0.33,0.291612180085933,0.645806090042967,0.36,0.345
"XGBoost_grid__1_AutoML_20200429_085534_model_5",0.354708127062706,0.677354063531353,0.4,0.291238557818046,0.645619278909023,0.35,0.375
"XGBoost_grid__1_AutoML_20200429_085534_model_5",0.354708127062706,0.677354063531353,0.4,0.291238557818046,0.645619278909023,0.36,0.38
"XGBoost_grid__1_AutoML_20200429_085534_model_5",0.354708127062706,0.677354063531353,0.4,0.291238557818046,0.645619278909023,0.37,0.385
"XGBoost_grid__1_AutoML_20200429_085534_model_6",0.438350866336634,0.719175433168317,0.31,0.288810013076779,0.64440500653839,0.36,0.335
"XGBoost_grid__1_AutoML_20200429_085534_model_6",0.438350866336634,0.719175433168317,0.32,0.288810013076779,0.64440500653839,0.36,0.34
"GBM_5_AutoML_20200429_085534",0.400835396039604,0.700417698019802,0.32,0.282645245656641,0.641322622828321,0.36,0.34
"DeepLearning_grid__3_AutoML_20200429_085534_model_5",0.377810437293729,0.688905218646865,0.41,0.281711189986923,0.640855594993462,0.41,0.41
"XGBoost_2_AutoML_20200429_085534",0.402382425742574,0.701191212871287,0.28,0.27890902297777,0.639454511488885,0.36,0.32
