"fname","youden.train","AUC.train","cutoff.train","youden.test","AUC.test","cutoff.test","cutoff"
"DeepLearning_1_AutoML_20210408_101833",0.233185345006431,0.616592672503216,0.33,0.333333333333333,0.666666666666667,0.47,0.4
"DeepLearning_grid__1_AutoML_20210408_101833_model_4",0.341728558980955,0.670864279490478,0.32,0.314814814814815,0.657407407407407,0.51,0.415
"DeepLearning_grid__1_AutoML_20210408_101833_model_4",0.341728558980955,0.670864279490478,0.32,0.314814814814815,0.657407407407407,0.52,0.42
"GBM_3_AutoML_20210408_101833",0.44191112401975,0.720955562009875,0.27,0.305555555555555,0.652777777777778,0.33,0.3
"StackedEnsemble_AllModels_AutoML_20210408_101833",0.440458902120244,0.720229451060122,0.32,0.305555555555555,0.652777777777778,0.32,0.32
"DeepLearning_grid__1_AutoML_20210408_101833_model_2",0.281212397825816,0.640606198912908,0.53,0.305555555555555,0.652777777777778,0.51,0.52
"GBM_1_AutoML_20210408_101833",0.540434006887681,0.77021700344384,0.31,0.296296296296296,0.648148148148148,0.36,0.335
"DeepLearning_grid__3_AutoML_20210408_101833_model_8",0.381623169163105,0.690811584581553,0.17,0.296296296296296,0.648148148148148,0.5,0.335
"DeepLearning_grid__3_AutoML_20210408_101833_model_8",0.381623169163105,0.690811584581553,0.17,0.296296296296296,0.648148148148148,0.51,0.34
"GBM_grid__1_AutoML_20210408_101833_model_5",0.377370233600266,0.688685116800133,0.37,0.287037037037037,0.643518518518518,0.38,0.375
"DeepLearning_grid__1_AutoML_20210408_101833_model_7",0.265134226795569,0.632567113397784,0.26,0.277777777777778,0.638888888888889,0.35,0.305
"GBM_2_AutoML_20210408_101833",0.415937098045724,0.707968549022862,0.27,0.277777777777778,0.638888888888889,0.36,0.315
"StackedEnsemble_BestOfFamily_AutoML_20210408_101833",0.341811543089498,0.670905771544749,0.35,0.277777777777778,0.638888888888889,0.25,0.3
"DeepLearning_grid__1_AutoML_20210408_101833_model_3",0.303057964399817,0.651528982199909,0.42,0.277777777777778,0.638888888888889,0.39,0.405
