"fname","youden.train","AUC.train","cutoff.train","youden.test","AUC.test","cutoff.test","cutoff"
"DeepLearning_grid__1_AutoML_20200310_084744_model_6",0.25345128877239,0.626725644386195,0.31,0.297905487277133,0.648952743638567,0.47,0.39
"DeepLearning_grid__2_AutoML_20200310_084744_model_5",0.278069025775448,0.639034512887724,0.31,0.287173273325255,0.643586636662628,0.42,0.365
"GBM_grid__1_AutoML_20200310_084744_model_7",0.216775884665793,0.608387942332896,0.31,0.286653972650164,0.643326986325082,0.34,0.325
"GBM_grid__1_AutoML_20200310_084744_model_8",0.357536041939712,0.678768020969856,0.3,0.285096070624892,0.642548035312446,0.46,0.38
"XGBoost_3_AutoML_20200310_084744",0.346417649628659,0.67320882481433,0.29,0.284576769949801,0.6422883849749,0.43,0.36
"XGBoost_3_AutoML_20200310_084744",0.346417649628659,0.67320882481433,0.29,0.284576769949801,0.6422883849749,0.44,0.365
"XGBoost_3_AutoML_20200310_084744",0.346417649628659,0.67320882481433,0.29,0.284576769949801,0.6422883849749,0.45,0.37
"XGBoost_1_AutoML_20200310_084744",0.290257754477938,0.645128877238969,0.3,0.281114765449195,0.640557382724598,0.34,0.32
"XGBoost_grid__1_AutoML_20200310_084744_model_6",0.235058977719528,0.617529488859764,0.33,0.278518262073741,0.63925913103687,0.36,0.345
"XGBoost_grid__1_AutoML_20200310_084744_model_4",0.341153342070773,0.670576671035387,0.32,0.277479660723559,0.63873983036178,0.4,0.36
"XGBoost_grid__1_AutoML_20200310_084744_model_3",0.329882044560944,0.664941022280472,0.33,0.277479660723559,0.63873983036178,0.39,0.36
"DeepLearning_grid__2_AutoML_20200310_084744_model_3",0.255439056356487,0.627719528178244,0.45,0.271421152847499,0.635710576423749,0.48,0.465
"DeepLearning_grid__2_AutoML_20200310_084744_model_6",0.280209698558322,0.640104849279161,0.16,0.270382551497317,0.635191275748658,0.5,0.33
"DeepLearning_grid__1_AutoML_20200310_084744_model_1",0.235277413717781,0.61763870685889,0.36,0.269343950147135,0.634671975073568,0.55,0.455
"XGBoost_grid__1_AutoML_20200310_084744_model_1",0.416688510266492,0.708344255133246,0.31,0.268305348796953,0.634152674398477,0.39,0.35
"GBM_grid__1_AutoML_20200310_084744_model_3",0.304565312363478,0.652282656181739,0.29,0.267786048121863,0.633893024060931,0.32,0.305
"XGBoost_grid__1_AutoML_20200310_084744_model_2",0.270948012232416,0.635474006116208,0.28,0.267266747446772,0.633633373723386,0.37,0.325
"XGBoost_grid__1_AutoML_20200310_084744_model_2",0.270948012232416,0.635474006116208,0.28,0.267266747446772,0.633633373723386,0.38,0.33
"XGBoost_grid__1_AutoML_20200310_084744_model_2",0.270948012232416,0.635474006116208,0.28,0.267266747446772,0.633633373723386,0.39,0.335
"XGBoost_grid__1_AutoML_20200310_084744_model_2",0.270948012232416,0.635474006116208,0.28,0.267266747446772,0.633633373723386,0.4,0.34
"XGBoost_grid__1_AutoML_20200310_084744_model_2",0.270948012232416,0.635474006116208,0.28,0.267266747446772,0.633633373723386,0.41,0.345
"XGBoost_grid__1_AutoML_20200310_084744_model_2",0.270948012232416,0.635474006116208,0.28,0.267266747446772,0.633633373723386,0.42,0.35
"XGBoost_grid__1_AutoML_20200310_084744_model_2",0.270948012232416,0.635474006116208,0.28,0.267266747446772,0.633633373723386,0.43,0.355
"XGBoost_grid__1_AutoML_20200310_084744_model_2",0.270948012232416,0.635474006116208,0.28,0.267266747446772,0.633633373723386,0.44,0.36
"XGBoost_grid__1_AutoML_20200310_084744_model_2",0.270948012232416,0.635474006116208,0.28,0.267266747446772,0.633633373723386,0.45,0.365
"XGBoost_grid__1_AutoML_20200310_084744_model_2",0.270948012232416,0.635474006116208,0.28,0.267266747446772,0.633633373723386,0.46,0.37
"XGBoost_2_AutoML_20200310_084744",0.233857579729139,0.61692878986457,0.35,0.267266747446772,0.633633373723386,0.38,0.365
"XGBoost_2_AutoML_20200310_084744",0.233857579729139,0.61692878986457,0.35,0.267266747446772,0.633633373723386,0.39,0.37
"XGBoost_2_AutoML_20200310_084744",0.233857579729139,0.61692878986457,0.35,0.267266747446772,0.633633373723386,0.4,0.375
"XGBoost_2_AutoML_20200310_084744",0.233857579729139,0.61692878986457,0.35,0.267266747446772,0.633633373723386,0.41,0.38
"XGBoost_2_AutoML_20200310_084744",0.233857579729139,0.61692878986457,0.35,0.267266747446772,0.633633373723386,0.42,0.385
"XGBoost_2_AutoML_20200310_084744",0.233857579729139,0.61692878986457,0.35,0.267266747446772,0.633633373723386,0.43,0.39
"XGBoost_2_AutoML_20200310_084744",0.233857579729139,0.61692878986457,0.35,0.267266747446772,0.633633373723386,0.44,0.395
"XGBoost_2_AutoML_20200310_084744",0.233857579729139,0.61692878986457,0.35,0.267266747446772,0.633633373723386,0.45,0.4
"XGBoost_2_AutoML_20200310_084744",0.233857579729139,0.61692878986457,0.35,0.267266747446772,0.633633373723386,0.46,0.405
"GBM_5_AutoML_20200310_084744",0.217693315858454,0.608846657929227,0.32,0.267266747446772,0.633633373723386,0.39,0.355
"GBM_5_AutoML_20200310_084744",0.217693315858454,0.608846657929227,0.32,0.267266747446772,0.633633373723386,0.4,0.36
"GBM_5_AutoML_20200310_084744",0.217693315858454,0.608846657929227,0.32,0.267266747446772,0.633633373723386,0.41,0.365
"GBM_5_AutoML_20200310_084744",0.217693315858454,0.608846657929227,0.32,0.267266747446772,0.633633373723386,0.42,0.37
"GBM_5_AutoML_20200310_084744",0.217693315858454,0.608846657929227,0.32,0.267266747446772,0.633633373723386,0.43,0.375
"GBM_5_AutoML_20200310_084744",0.217693315858454,0.608846657929227,0.32,0.267266747446772,0.633633373723386,0.44,0.38
"GBM_5_AutoML_20200310_084744",0.217693315858454,0.608846657929227,0.32,0.267266747446772,0.633633373723386,0.45,0.385
"GBM_4_AutoML_20200310_084744",0.40045871559633,0.700229357798165,0.28,0.266747446771681,0.63337372338584,0.45,0.365
"DeepLearning_grid__1_AutoML_20200310_084744_model_2",0.268785495849716,0.634392747924858,0.23,0.264324043621257,0.632162021810628,0.28,0.255
"GBM_3_AutoML_20200310_084744",0.400393184796854,0.700196592398427,0.3,0.259131036870348,0.629565518435174,0.41,0.355
"XRT_1_AutoML_20200310_084744",0.481017911751857,0.740508955875928,0.26,0.258611736195257,0.629305868097629,0.4,0.33
"XRT_1_AutoML_20200310_084744",0.481017911751857,0.740508955875928,0.26,0.258611736195257,0.629305868097629,0.41,0.335
"XRT_1_AutoML_20200310_084744",0.481017911751857,0.740508955875928,0.26,0.258611736195257,0.629305868097629,0.42,0.34
"XGBoost_grid__1_AutoML_20200310_084744_model_5",0.212407164700743,0.606203582350371,0.35,0.258611736195257,0.629305868097629,0.36,0.355
"XGBoost_grid__1_AutoML_20200310_084744_model_5",0.212407164700743,0.606203582350371,0.35,0.258611736195257,0.629305868097629,0.37,0.36
"XGBoost_grid__1_AutoML_20200310_084744_model_5",0.212407164700743,0.606203582350371,0.35,0.258611736195257,0.629305868097629,0.38,0.365
"XGBoost_grid__1_AutoML_20200310_084744_model_5",0.212407164700743,0.606203582350371,0.35,0.258611736195257,0.629305868097629,0.39,0.37
"XGBoost_grid__1_AutoML_20200310_084744_model_5",0.212407164700743,0.606203582350371,0.35,0.258611736195257,0.629305868097629,0.4,0.375
"XGBoost_grid__1_AutoML_20200310_084744_model_5",0.212407164700743,0.606203582350371,0.35,0.258611736195257,0.629305868097629,0.41,0.38
"XGBoost_grid__1_AutoML_20200310_084744_model_5",0.212407164700743,0.606203582350371,0.35,0.258611736195257,0.629305868097629,0.42,0.385
"DeepLearning_grid__2_AutoML_20200310_084744_model_2",0.22999126256007,0.614995631280035,0.3,0.257226934395015,0.628613467197507,0.23,0.265
"DeepLearning_grid__2_AutoML_20200310_084744_model_2",0.22999126256007,0.614995631280035,0.31,0.257226934395015,0.628613467197507,0.23,0.27
"DeepLearning_grid__2_AutoML_20200310_084744_model_2",0.22999126256007,0.614995631280035,0.32,0.257226934395015,0.628613467197507,0.23,0.275
"GBM_2_AutoML_20200310_084744",0.417715159458279,0.708857579729139,0.29,0.257053834169984,0.628526917084992,0.48,0.385
"DeepLearning_grid__2_AutoML_20200310_084744_model_1",0.212560069899519,0.60628003494976,0.2,0.255149731694651,0.627574865847325,0.19,0.195
"DeepLearning_grid__3_AutoML_20200310_084744_model_3",0.248449104412407,0.624224552206204,0.37,0.25463043101956,0.62731521550978,0.5,0.435
"DeepLearning_grid__3_AutoML_20200310_084744_model_1",0.272804718217562,0.636402359108781,0.58,0.252553228319197,0.626276614159598,0.65,0.615
"GBM_1_AutoML_20200310_084744",0.415749235474006,0.707874617737003,0.28,0.247879522243379,0.623939761121689,0.44,0.36
"DeepLearning_grid__2_AutoML_20200310_084744_model_7",0.24001747487986,0.62000873743993,0.51,0.243898217067682,0.621949108533841,0.49,0.5
"GLM_1_AutoML_20200310_084744",0.165836609873307,0.582918304936654,0.33,0.241474813917258,0.620737406958629,0.32,0.325
"DeepLearning_1_AutoML_20200310_084744",0.193337702053298,0.596668851026649,0.34,0.240436212567076,0.620218106283538,0.33,0.335
"DeepLearning_grid__1_AutoML_20200310_084744_model_4",0.282000873743993,0.641000436871996,0.39,0.234723905141077,0.617361952570538,0.46,0.425
"DeepLearning_grid__1_AutoML_20200310_084744_model_5",0.217627785058978,0.608813892529489,0.32,0.234723905141077,0.617361952570538,0.32,0.32
"DeepLearning_grid__1_AutoML_20200310_084744_model_5",0.217627785058978,0.608813892529489,0.32,0.234723905141077,0.617361952570538,0.33,0.325
"DeepLearning_grid__3_AutoML_20200310_084744_model_2",0.254521625163827,0.627260812581913,0.43,0.229011597715077,0.614505798857539,0.56,0.495
"GBM_grid__1_AutoML_20200310_084744_model_5",0.231913499344692,0.615956749672346,0.35,0.225549593214471,0.612774796607236,0.35,0.35
"DeepLearning_grid__1_AutoML_20200310_084744_model_7",0.249519440803844,0.624759720401922,0.34,0.22503029253938,0.61251514626969,0.46,0.4
"DeepLearning_grid__3_AutoML_20200310_084744_model_8",0.268654434250764,0.634327217125382,0.37,0.223991691189199,0.611995845594599,0.4,0.385
"StackedEnsemble_AllModels_AutoML_20200310_084744",0.517605941459153,0.758802970729576,0.37,0.220875887138653,0.610437943569327,0.44,0.405
"GBM_grid__1_AutoML_20200310_084744_model_6",0.438138925294889,0.719069462647444,0.29,0.220356586463562,0.610178293231781,0.43,0.36
"StackedEnsemble_BestOfFamily_AutoML_20200310_084744",0.549257317605941,0.774628658802971,0.37,0.219837285788472,0.609918642894236,0.5,0.435
"StackedEnsemble_BestOfFamily_AutoML_20200310_084744",0.549257317605941,0.774628658802971,0.37,0.219837285788472,0.609918642894236,0.51,0.44
