"n","algorithm","fname","cutoff","AUC.train","AUC.test","train.Fscore","test.Fscore"
15,"drf","XRT_1_AutoML_20200324_220857",0.36,0.96275525990099,0.781150756585092,0.978583196046128,0.873239436619718
65,"drf","DRF_1_AutoML_20200324_220857",0.325,0.956592924917492,0.761815804221932,0.977049180327869,0.858490566037736
3,"deeplearning","DeepLearning_grid__2_AutoML_20200324_220857_model_5",0.375,0.839740614686469,0.760881748552214,0.916129032258065,0.844660194174757
101,"deeplearning","DeepLearning_grid__3_AutoML_20200324_220857_model_2",0.405,0.804004228547855,0.708107603213152,0.809792843691149,0.72
91,"xgboost","XGBoost_grid__1_AutoML_20200324_220857_model_4",0.375,0.799092409240924,0.706893330842518,0.868243243243243,0.787878787878788
89,"deeplearning","DeepLearning_grid__2_AutoML_20200324_220857_model_1",0.325,0.766798164191419,0.702409863627872,0.852348993288591,0.79
10,"deeplearning","DeepLearning_grid__1_AutoML_20200324_220857_model_7",0.565,0.729347153465347,0.696992340743508,0.773480662983425,0.775510204081633
88,"deeplearning","DeepLearning_grid__2_AutoML_20200324_220857_model_7",0.38,0.722076113861386,0.692041845694003,0.808290155440415,0.769230769230769
2,"deeplearning","DeepLearning_grid__1_AutoML_20200324_220857_model_5",0.325,0.830239273927393,0.685223239305063,0.854578096947935,0.725274725274725
90,"xgboost","XGBoost_3_AutoML_20200324_220857",0.365,0.784846844059406,0.679058471884924,0.848275862068966,0.784313725490196
