"n","algorithm","fname","cutoff","AUC.train","AUC.test","train.Fscore","test.Fscore"
1,"deeplearning","DeepLearning_grid__2_AutoML_20200429_085534_model_4",0.21,0.722037438118812,0.671305809826266,0.733980582524272,0.724324324324324
3,"deeplearning","DeepLearning_grid__3_AutoML_20200429_085534_model_2",0.36,0.762144183168317,0.661871847562115,0.754420432220039,0.720430107526882
7,"deeplearning","DeepLearning_grid__2_AutoML_20200429_085534_model_5",0.35,0.706915222772277,0.655520269008033,0.687116564417178,0.681818181818182
27,"xgboost","XGBoost_grid__1_AutoML_20200429_085534_model_2",0.355,0.707998143564356,0.654773024472259,0.775583482944345,0.762376237623762
5,"deeplearning","DeepLearning_grid__3_AutoML_20200429_085534_model_7",0.205,0.81286097359736,0.653838968802541,0.818011257035647,0.744897959183674
18,"deeplearning","DeepLearning_grid__2_AutoML_20200429_085534_model_2",0.83,0.760764748349835,0.653838968802541,0.773333333333333,0.744897959183674
9,"deeplearning","DeepLearning_grid__3_AutoML_20200429_085534_model_3",0.245,0.709545173267327,0.653371940967682,0.745762711864407,0.735751295336788
19,"deeplearning","DeepLearning_grid__1_AutoML_20200429_085534_model_3",0.125,0.707018358085809,0.651970857463105,0.724806201550388,0.706521739130435
16,"deeplearning","DeepLearning_grid__1_AutoML_20200429_085534_model_7",0.345,0.715101588283828,0.647487390248459,0.749529190207156,0.709677419354839
29,"deeplearning","DeepLearning_1_AutoML_20200429_085534",0.45,0.688131703795379,0.646273117877825,0.790378006872852,0.77511961722488
