"n","algorithm","fname","cutoff","AUC.train","AUC.test","train.Fscore","test.Fscore"
11,"gbm","GBM_grid__1_AutoML_20210408_101833_model_1",0.36,0.860451848471018,0.606481481481482,0.867132867132867,0.70873786407767
4,"gbm","GBM_2_AutoML_20210408_101833",0.315,0.694359155221775,0.611111111111111,0.73345259391771,0.666666666666667
15,"xgboost","XGBoost_3_AutoML_20210408_101833",0.34,0.701879590058504,0.615740740740741,0.771573604060914,0.721153846153846
8,"xgboost","XGBoost_grid__1_AutoML_20210408_101833_model_4",0.31,0.753879507074395,0.62037037037037,0.79020979020979,0.7
5,"drf","XRT_1_AutoML_20210408_101833",0.325,0.782840960955977,0.62037037037037,0.816608996539792,0.744186046511628
13,"drf","DRF_1_AutoML_20210408_101833",0.31,0.779853533048421,0.62037037037037,0.801418439716312,0.718446601941747
1,"gbm","GBM_3_AutoML_20210408_101833",0.3,0.713632214430936,0.625,0.753982300884956,0.696969696969697
14,"gbm","GBM_4_AutoML_20210408_101833",0.3,0.726619227417949,0.625,0.759358288770054,0.677083333333333
3,"gbm","GBM_1_AutoML_20210408_101833",0.335,0.74238620804116,0.634259259259259,0.792452830188679,0.728155339805825
2,"stackedensemble","StackedEnsemble_AllModels_AutoML_20210408_101833",0.32,0.720229451060122,0.652777777777778,0.750448833034111,0.707692307692308
