"n","algorithm","fname","cutoff","AUC.train","AUC.test","train.Fscore","test.Fscore"
15,"glm","GLM_1_AutoML_20200407_224432",0.315,0.593866027227723,0.621333831496357,0.573248407643312,0.63953488372093
1,"deeplearning","DeepLearning_grid__3_AutoML_20200407_224432_model_2",0.175,0.658390057755776,0.600784606762563,0.668,0.407407407407407
22,"deeplearning","DeepLearning_grid__3_AutoML_20200407_224432_model_3",0.24,0.621583642739274,0.597982439753409,0.653543307086614,0.636363636363636
61,"gbm","GBM_grid__1_AutoML_20200407_224432_model_3",0.295,0.664255878712871,0.597235195217635,0.774526678141136,0.722772277227723
28,"deeplearning","DeepLearning_grid__1_AutoML_20200407_224432_model_3",0.375,0.59837819719472,0.597048384083691,0.569593147751606,0.611764705882353
2,"deeplearning","DeepLearning_grid__3_AutoML_20200407_224432_model_4",0.36,0.635326423267327,0.591350644498412,0.72,0.697435897435898
4,"gbm","GBM_grid__1_AutoML_20200407_224432_model_5",0.315,0.65688170379538,0.583317765738838,0.779661016949152,0.721951219512195
37,"xgboost","XGBoost_grid__1_AutoML_20200407_224432_model_2",0.33,0.652807858910891,0.57976835419391,0.788685524126456,0.741784037558685
51,"gbm","GBM_2_AutoML_20200407_224432",0.315,0.690826113861386,0.578367270689333,0.797274275979557,0.715686274509804
12,"deeplearning","DeepLearning_grid__1_AutoML_20200407_224432_model_6",0.265,0.663817553630363,0.577900242854474,0.766550522648084,0.706467661691542
