"model_id","auc","logloss","aucpr","mean_per_class_error","rmse","mse"
"DeepLearning_grid__1_AutoML_20200114_104212_model_8",0.734274212533547,0.718321321153107,0.559104288981114,0.303674843448373,0.423547431737592,0.17939242693151
"StackedEnsemble_AllModels_AutoML_20200114_104212",0.734191816940534,0.533869686499848,0.541200887128311,0.312020339940675,0.421351351871014,0.177536961723531
"StackedEnsemble_BestOfFamily_AutoML_20200114_104212",0.732096614718207,0.531162891352059,0.553874460498012,0.301556099628043,0.41873797004138,0.175341487554376
"DeepLearning_grid__1_AutoML_20200114_104212_model_14",0.721867790385611,0.626702448804879,0.477591181321182,0.296788926032299,0.444894296849505,0.197930935369215
"DeepLearning_grid__1_AutoML_20200114_104212_model_5",0.720761335279439,0.743536205441297,0.52398875858748,0.323485098168464,0.4444487873407,0.197534724568619
"DeepLearning_grid__1_AutoML_20200114_104212_model_7",0.720325815716371,0.560679722476487,0.515044455227608,0.316481472762371,0.430434746803379,0.185274071255689
"DeepLearning_grid__3_AutoML_20200114_104212_model_4",0.720219878525354,0.794494822788662,0.49557120726606,0.309830971326334,0.442638676108746,0.195928997587303
"XGBoost_grid__1_AutoML_20200114_104212_model_2",0.711744903244032,0.542307951348839,0.52570691410312,0.343989830029662,0.426113362136453,0.181572597391232
"XGBoost_2_AutoML_20200114_104212",0.709861575403738,0.545556129432354,0.540340145358948,0.341953481802345,0.427043338405685,0.182366012876672
"XGBoost_1_AutoML_20200114_104212",0.707778143980413,0.542775567425326,0.529103102029915,0.361116342577334,0.426118602325042,0.181577063247447
"GBM_grid__1_AutoML_20200114_104212_model_12",0.707742831583408,0.563212912805159,0.486323979042951,0.324520928480625,0.433903853534667,0.188272554112234
"GBM_5_AutoML_20200114_104212",0.707060125241301,0.546722350020163,0.526105283915931,0.341800461415321,0.427730944690007,0.182953761045406
"DeepLearning_grid__2_AutoML_20200114_104212_model_2",0.705965440934131,1.0167016760662,0.505089362341158,0.331253825509676,0.453165376448663,0.205358858411859
"XGBoost_3_AutoML_20200114_104212",0.704976693817976,0.543960475434921,0.531350446258976,0.375041197796506,0.426936620993067,0.182274878344978
"XGBoost_grid__1_AutoML_20200114_104212_model_3",0.702081077263525,0.543947310165029,0.53356566783661,0.356914167333679,0.426449179885232,0.181858903024787
"DeepLearning_grid__2_AutoML_20200114_104212_model_5",0.701963369273506,1.71075393560674,0.479211558545583,0.344072225622675,0.505405849041087,0.255435072244942
"GBM_grid__1_AutoML_20200114_104212_model_5",0.699962333443194,0.567364853921086,0.49656010610379,0.343495456471585,0.437940255336045,0.1917916672438
"GBM_grid__1_AutoML_20200114_104212_model_8",0.696654738923678,0.555225109994273,0.509618726971772,0.363882480342766,0.431430906733505,0.186132627284894
"XGBoost_grid__1_AutoML_20200114_104212_model_6",0.695866095390555,0.554959918648749,0.531106481630145,0.362611234050567,0.430631819981072,0.18544376438021
"DeepLearning_grid__2_AutoML_20200114_104212_model_1",0.695783699797542,0.68462994910491,0.507611490470064,0.333254861339988,0.448246851812608,0.200925240159915
"DeepLearning_grid__2_AutoML_20200114_104212_model_7",0.694206412731296,0.632405391443741,0.465765281567211,0.33756297377466,0.446464389271986,0.199330450888007
"XGBoost_grid__1_AutoML_20200114_104212_model_4",0.69237016808701,0.557184948994181,0.515061080777716,0.338292763312774,0.432915143167565,0.187415521183794
"DeepLearning_grid__1_AutoML_20200114_104212_model_10",0.692122981307971,0.631555525229269,0.502845839173129,0.358385517208908,0.438738975636218,0.192491888742318
"XGBoost_grid__1_AutoML_20200114_104212_model_1",0.691640378548896,0.556883265185359,0.527138206457542,0.356878854936673,0.432689919203359,0.18722056618021
"GBM_grid__1_AutoML_20200114_104212_model_7",0.690686943829747,0.557750596897866,0.504112191305733,0.348109609680305,0.432813262953519,0.187327320588472
"GLM_1_AutoML_20200114_104212",0.688944865577475,0.563654682663061,0.457099378128709,0.350993455435755,0.436446725175196,0.190485743916153
"DeepLearning_grid__1_AutoML_20200114_104212_model_3",0.681953010970385,0.700273320441994,0.445195736851283,0.367425490842318,0.455974675733535,0.207912904910302
"DeepLearning_grid__2_AutoML_20200114_104212_model_4",0.681870615377372,0.757600137094221,0.4377493025396,0.33987005037902,0.459242922079465,0.210904061480086
"DeepLearning_grid__1_AutoML_20200114_104212_model_4",0.679728329959038,0.960258806781257,0.445914779377533,0.3673077828523,0.471402045168173,0.222219888188736
"DeepLearning_1_AutoML_20200114_104212",0.678774895239889,0.584336435935241,0.465694278478992,0.391626253590094,0.443965762044239,0.197105597867522
"GBM_4_AutoML_20200114_104212",0.678645416450869,0.594450075413226,0.520186674345338,0.369685484250671,0.440557083127248,0.194090543493589
"GBM_3_AutoML_20200114_104212",0.67813927209379,0.598630337242316,0.517470246291434,0.353641885211168,0.441381307085607,0.194817458244599
"GBM_grid__1_AutoML_20200114_104212_model_3",0.676973962992608,0.585658965084427,0.496780783257827,0.384928668958049,0.446491133222931,0.199354332046697
"GBM_1_AutoML_20200114_104212",0.676291256650501,0.617231715686775,0.47554188460732,0.392779791892274,0.450291595156476,0.202762520668563
"DeepLearning_grid__2_AutoML_20200114_104212_model_6",0.675008239559301,0.915280675414174,0.43273145994135,0.356455106172607,0.464675978606628,0.215923765094028
"GBM_2_AutoML_20200114_104212",0.672395122180894,0.602496506312915,0.484370942113633,0.366613305711192,0.445726919958141,0.198672487175371
"DeepLearning_grid__1_AutoML_20200114_104212_model_12",0.671559395451763,0.687588716645681,0.475561979945142,0.362493526060549,0.447870241793876,0.200587753484505
"DeepLearning_grid__1_AutoML_20200114_104212_model_6",0.670605960732615,0.767730782657463,0.419876360172714,0.357231978906728,0.465611045669951,0.216793645849866
