"model_id","auc","logloss","aucpr","mean_per_class_error","rmse","mse"
"StackedEnsemble_AllModels_AutoML_20200309_152139",0.785921799912626,0.509187793398095,0.595221614853427,0.258060288335518,0.409770481739813,0.167911847705279
"StackedEnsemble_BestOfFamily_AutoML_20200309_152139",0.781935342944517,0.518979925524503,0.5598674711409,0.266218872870249,0.41572692989357,0.172828880238733
"XRT_1_AutoML_20200309_152139",0.774453910004369,0.742216728944303,0.547914263643082,0.293698121450415,0.424824668759689,0.18047599918678
"DeepLearning_grid__2_AutoML_20200309_152139_model_4",0.770598514635212,1.11396134926638,0.527012624701125,0.269266055045872,0.454523416627433,0.206591536262675
"DeepLearning_grid__3_AutoML_20200309_152139_model_8",0.769156837046745,1.71495446557992,0.515800316400828,0.267234600262123,0.4578147994553,0.209594390600297
"DRF_1_AutoML_20200309_152139",0.765050240279598,0.630802327190122,0.533703317023828,0.283988641328091,0.431071537625003,0.185822670550384
"DeepLearning_grid__3_AutoML_20200309_152139_model_3",0.759414591524683,0.616197991662429,0.561056803266929,0.294298820445609,0.421889440622481,0.17799070010875
"GBM_grid__1_AutoML_20200309_152139_model_9",0.758606378331149,0.536296750357404,0.539971567969206,0.292223678462211,0.422206952799856,0.17825871099254
"DeepLearning_grid__1_AutoML_20200309_152139_model_3",0.755996068152031,0.573851235408567,0.568831750490696,0.276922236784622,0.418540065396293,0.175175786341933
"DeepLearning_grid__2_AutoML_20200309_152139_model_5",0.754467016164264,0.874865894076307,0.547225451353571,0.291688510266492,0.438677188794766,0.192437675968879
"DeepLearning_grid__3_AutoML_20200309_152139_model_4",0.753866317169069,1.72322226636382,0.474993518255839,0.283562691131498,0.474259737238423,0.224922298365458
"DeepLearning_grid__1_AutoML_20200309_152139_model_2",0.753058103975535,0.611727952992845,0.552785438281163,0.287079510703364,0.42364532965244,0.179475365336324
"DeepLearning_grid__3_AutoML_20200309_152139_model_2",0.747782874617737,0.604987389322241,0.530242437569261,0.299847094801223,0.431717407497801,0.186379919936622
"GBM_4_AutoML_20200309_152139",0.744779379641765,0.557394784565938,0.503393195312158,0.30391000436872,0.43378855450808,0.18817251002221
"DeepLearning_grid__3_AutoML_20200309_152139_model_6",0.744047619047619,0.911500667114791,0.520623323231397,0.28868501529052,0.442689754076269,0.195974218364107
"DeepLearning_grid__1_AutoML_20200309_152139_model_4",0.743665356050677,0.87933196838718,0.518220883210556,0.283016601135867,0.446168957960483,0.199066739047543
"DeepLearning_grid__2_AutoML_20200309_152139_model_2",0.74321756225426,0.609703647917138,0.538516667096876,0.298776758409786,0.42703825887151,0.182361674540011
"XGBoost_grid__1_AutoML_20200309_152139_model_4",0.739252948885976,0.535633241933885,0.552305732514666,0.311020096111839,0.421963199160367,0.178052941445651
"GBM_3_AutoML_20200309_152139",0.737505460899956,0.556551455260468,0.501217721912729,0.31002621231979,0.433047562124842,0.187530191062269
"GBM_2_AutoML_20200309_152139",0.736904761904762,0.552263878488949,0.512052150212406,0.298285277413718,0.430731354103215,0.18552949940759
"GBM_1_AutoML_20200309_152139",0.736347750109218,0.57222682458727,0.49823093308878,0.318621668851027,0.436746732089058,0.190747707990472
"DeepLearning_grid__2_AutoML_20200309_152139_model_7",0.735921799912626,0.565492979136948,0.514271417326336,0.296275666229795,0.428651407947972,0.183742029535779
