"model_id","auc","logloss","aucpr","mean_per_class_error","rmse","mse"
"StackedEnsemble_BestOfFamily_AutoML_20200429_085534",0.758869636963696,0.52331787363506,0.502041118574251,0.284627681518152,0.4187231989314,0.175329117323344
"StackedEnsemble_AllModels_AutoML_20200429_085534",0.756458849009901,0.526974167570256,0.50041574884026,0.290622421617162,0.420733575626678,0.17701674165961
"GBM_1_AutoML_20200429_085534",0.742135932343234,0.535724644747039,0.500178749926269,0.293084777227723,0.424982756761196,0.180610343544346
"GBM_grid__1_AutoML_20200429_085534_model_6",0.733214727722772,0.53788452198341,0.49071054021389,0.287928011551155,0.427106892715047,0.182420297804703
"DeepLearning_grid__1_AutoML_20200429_085534_model_4",0.724009900990099,0.658042083846275,0.522355539811692,0.301464521452145,0.437681364730456,0.191564977032314
"DeepLearning_grid__1_AutoML_20200429_085534_model_1",0.722243708745875,0.578106639469202,0.492411113726659,0.307459261551155,0.437533918490324,0.191435929829497
"XGBoost_grid__1_AutoML_20200429_085534_model_4",0.721392842409241,0.546825016680453,0.452732871566862,0.308271452145215,0.431013564382691,0.185772692681872
"DeepLearning_grid__1_AutoML_20200429_085534_model_2",0.716313428217822,0.611683573986499,0.442697370187711,0.305577042079208,0.445250809262149,0.198248283148599
"DeepLearning_grid__2_AutoML_20200429_085534_model_3",0.715178939768977,0.681653564016963,0.478617425948196,0.299582301980198,0.446216728064405,0.199109368404503
"DeepLearning_grid__2_AutoML_20200429_085534_model_5",0.712445853960396,0.553568975803738,0.489239051671126,0.3168574669967,0.433054439087178,0.18753614721311
"DeepLearning_grid__1_AutoML_20200429_085534_model_6",0.711775474422442,0.569118298399252,0.432408719980793,0.31503970709571,0.441974822330904,0.195341743574434
"GBM_4_AutoML_20200429_085534",0.711762582508251,0.553019978851649,0.471417481222149,0.340062912541254,0.434421814311451,0.188722312749652
