"model_id","auc","logloss","aucpr","mean_per_class_error","rmse","mse"
"StackedEnsemble_AllModels_AutoML_20210408_215016",0.762492436466317,0.523489208867855,0.603707682316827,0.277480839048003,0.416262210323226,0.173274227743177
"StackedEnsemble_BestOfFamily_AutoML_20210408_215016",0.754437273093989,0.5283669626819,0.602205091390793,0.299591569181121,0.419006250786816,0.175566238198424
"XGBoost_grid__1_AutoML_20210408_215016_model_2",0.752256454215409,0.529964784378859,0.60312448699144,0.331030657523195,0.419968961584187,0.1763739286941
"DeepLearning_grid__1_AutoML_20210408_215016_model_3",0.751626159741831,0.579999784459144,0.568309513611607,0.304003630496168,0.434411178461867,0.188713071972628
"XGBoost_3_AutoML_20210408_215016",0.749785699878983,0.547619481277556,0.581028744244711,0.302137958854377,0.42507298324259,0.180687041082755
"DeepLearning_grid__3_AutoML_20210408_215016_model_2",0.747907422347721,0.63515124774443,0.520170658735553,0.283531665994353,0.440487508807392,0.194029245415342
"XGBoost_grid__1_AutoML_20210408_215016_model_5",0.74636950383219,0.533759379620184,0.597199965240892,0.305289431222267,0.423133539030741,0.17904199185268
"XGBoost_grid__1_AutoML_20210408_215016_model_1",0.745524909237596,0.535137672541509,0.589104020812809,0.320618192819685,0.423683308175971,0.179507545626935
"XGBoost_grid__1_AutoML_20210408_215016_model_4",0.744680314643001,0.542483375534597,0.599281429602412,0.303171641791045,0.423865120429467,0.179661640316686
"XGBoost_grid__1_AutoML_20210408_215016_model_7",0.74378529649052,0.54155180016833,0.586389225727871,0.306272690601049,0.424275777268718,0.180009935176975
"GBM_2_AutoML_20210408_215016",0.743104578459056,0.554457485320778,0.606866492930301,0.292910447761194,0.423450105043163,0.179309991461066
"XGBoost_1_AutoML_20210408_215016",0.738553852359823,0.54598377638689,0.587144945170909,0.323366276724486,0.426599957378577,0.181987523635404
"DRF_1_AutoML_20210408_215016",0.737583198870512,0.637327897589663,0.596804127349643,0.333299717628076,0.43166374608957,0.186333589688081
"GBM_grid__1_AutoML_20210408_215016_model_5",0.737293263412666,0.545022301657679,0.590200977844296,0.316836425978217,0.425575430942774,0.181114447422127
"GBM_grid__1_AutoML_20210408_215016_model_7",0.73707896329165,0.566273612707455,0.557313806907649,0.312676482452602,0.432818933706464,0.1873322293748
"GBM_grid__1_AutoML_20210408_215016_model_4",0.736499092375958,0.539885608571215,0.548118089355714,0.315575837031061,0.426024688079655,0.181497034853367
"GBM_4_AutoML_20210408_215016",0.736461274707543,0.567771424234,0.559482264630316,0.323088947156111,0.429578101253741,0.184537345076769
"XRT_1_AutoML_20210408_215016",0.734772085518354,0.573020593244806,0.57163405035096,0.323870512303348,0.431888248415613,0.186527459119506
"XGBoost_grid__1_AutoML_20210408_215016_model_6",0.734242638160549,0.540989821773098,0.600915018366144,0.313382412263009,0.424736249906722,0.180400881984825
"GBM_1_AutoML_20210408_215016",0.732994655102864,0.571145343679967,0.594595162879098,0.317970956030658,0.428704497771841,0.183787546409807
"XGBoost_grid__1_AutoML_20210408_215016_model_3",0.732944231544978,0.544365104788795,0.561440276273615,0.324021782977007,0.426941570949816,0.182279105005097
"GBM_grid__1_AutoML_20210408_215016_model_2",0.731192012908431,0.547220365683058,0.561298261032738,0.315500201694232,0.426535061923754,0.1819321590503
"GBM_grid__1_AutoML_20210408_215016_model_3",0.730902077450585,0.610733833378458,0.536355164919528,0.296288826139572,0.438531972183281,0.192310290626958
"DeepLearning_grid__2_AutoML_20210408_215016_model_4",0.730309600645421,1.2365936854324,0.522141145842232,0.309651068979427,0.471015568024357,0.221855665321308
"XGBoost_2_AutoML_20210408_215016",0.729767547398144,0.550918651598769,0.544469721616769,0.320845098830173,0.430009994083837,0.184908595011982
"DeepLearning_grid__2_AutoML_20210408_215016_model_5",0.729149858814038,0.849117771202845,0.506868651801067,0.306070996369504,0.463509812224189,0.214841346028103
"GBM_3_AutoML_20210408_215016",0.728607805566761,0.568441210925415,0.589039223834963,0.317895320693828,0.429851315560383,0.184772153488992
"GBM_5_AutoML_20210408_215016",0.726969039935458,0.545985794184083,0.553944598805568,0.317113755546591,0.427981541503234,0.183168199867485
"DeepLearning_grid__1_AutoML_20210408_215016_model_5",0.726200080677693,0.87230423229798,0.508868486286204,0.309222468737394,0.477827247104443,0.228318878075411
"GBM_grid__1_AutoML_20210408_215016_model_6",0.726162263009278,0.550032737880262,0.562773263217154,0.334005647438483,0.429371470374558,0.18435985957161
"GBM_grid__1_AutoML_20210408_215016_model_1",0.724775615167406,0.644720317796411,0.554329461829784,0.33357704719645,0.448958865103177,0.201564062554733
"DeepLearning_grid__2_AutoML_20210408_215016_model_2",0.716443122226704,0.668963745128942,0.478889547096713,0.318097014925373,0.454626585671006,0.206685332398877
"DeepLearning_grid__1_AutoML_20210408_215016_model_2",0.714325332795482,0.737779481998469,0.489817582649617,0.321399757966922,0.473363205015912,0.224072723862936
"DeepLearning_grid__2_AutoML_20210408_215016_model_3",0.711337736990722,0.730914332596496,0.506149815883276,0.339905203711174,0.463499153087215,0.214831464912565
"DeepLearning_grid__1_AutoML_20210408_215016_model_4",0.71035447761194,0.932572116354495,0.499591684546861,0.317895320693828,0.472872462089252,0.223608365402351
"DeepLearning_grid__1_AutoML_20210408_215016_model_1",0.709156918112142,0.714781787240739,0.518683964716988,0.348426784993949,0.467642980404379,0.218689957121491
"GLM_1_AutoML_20210408_215016",0.705929810407422,0.566497248883347,0.506190769665332,0.34673759580476,0.437650726255207,0.19153815819171
