"model_id","auc","logloss","aucpr","mean_per_class_error","rmse","mse"
"DeepLearning_grid__1_AutoML_20210408_101833_model_4",0.658271441019045,0.722282045862857,0.45545406429751,0.351043525164931,0.477275879752605,0.227792265393623
"StackedEnsemble_BestOfFamily_AutoML_20210408_101833",0.645574872411933,0.605838703515315,0.44567217005361,0.394682793245094,0.456408090473307,0.20830834504949
"StackedEnsemble_AllModels_AutoML_20210408_101833",0.642701547653624,0.608255222343244,0.435491318040888,0.336096012613584,0.45804053422512,0.209801130993233
"DeepLearning_grid__1_AutoML_20210408_101833_model_1",0.642359238205884,0.698315706062034,0.477985978370302,0.38149869300029,0.462537236472162,0.213940695123305
"DeepLearning_grid__3_AutoML_20210408_101833_model_8",0.635938342807352,1.12013388731025,0.416215671315986,0.373812289946475,0.492260579061863,0.24232047769832
"DeepLearning_grid__2_AutoML_20210408_101833_model_4",0.634662462138501,0.682666409360324,0.462126743791614,0.42203643002365,0.476685693983969,0.227229250848978
"DeepLearning_grid__3_AutoML_20210408_101833_model_3",0.630471764657068,0.665642477561166,0.458761372760377,0.39504584871997,0.466888103021492,0.217984500743008
"DeepLearning_grid__1_AutoML_20210408_101833_model_3",0.62729762250529,0.670278327987158,0.42247237562882,0.36083564997303,0.469267896304915,0.220212358502441
"DeepLearning_grid__1_AutoML_20210408_101833_model_2",0.624735488154018,0.691023304847484,0.471372323952324,0.43182855483175,0.465990145513006,0.217146815715232
"DeepLearning_grid__3_AutoML_20210408_101833_model_4",0.623262520227376,0.856860429761467,0.432786120411603,0.427036222563379,0.494578714895126,0.244608105227314
"DeepLearning_1_AutoML_20210408_101833",0.616416331272561,0.624943570065184,0.400651133286239,0.427191817766898,0.464499649348808,0.215759924245165
"DeepLearning_grid__2_AutoML_20210408_101833_model_3",0.615181942657981,0.746812136582392,0.436866424216448,0.412669598771835,0.481012858957165,0.231373370482145
"DeepLearning_grid__1_AutoML_20210408_101833_model_5",0.614673664993154,0.706813797294239,0.454182446897705,0.427814198580972,0.469302495096966,0.220244831904237
"DeepLearning_grid__3_AutoML_20210408_101833_model_6",0.613625990622796,0.747768314102693,0.414497248964328,0.420698311273391,0.491804615547586,0.241871779873909
"XGBoost_grid__1_AutoML_20210408_101833_model_6",0.61237085598108,0.612441411450319,0.44270839165459,0.45120534417659,0.459349176456554,0.211001665911315
"GBM_grid__1_AutoML_20210408_101833_model_4",0.610420729430314,0.615045003773906,0.455624322661867,0.427762333513132,0.460176949101304,0.211762824484184
"DeepLearning_grid__2_AutoML_20210408_101833_model_2",0.608688436164474,0.653481355606505,0.43034608053005,0.413903987386415,0.475302310802085,0.225912286653802
