"model_id","auc","logloss","aucpr","mean_per_class_error","rmse","mse"
"StackedEnsemble_BestOfFamily_AutoML_20200310_084744",0.641677588466579,0.585905297561146,0.420230136867049,0.394058540847532,0.446683683073318,0.199526312723944
"XRT_1_AutoML_20200310_084744",0.625961118392311,0.592533252729868,0.423219619268103,0.404292267365662,0.448715619971296,0.201345707606225
"StackedEnsemble_AllModels_AutoML_20200310_084744",0.625535168195719,0.591838314109563,0.397928191819781,0.394124071647007,0.449165055117516,0.201749246738721
"GBM_2_AutoML_20200310_084744",0.625240279598078,0.595308982363225,0.407321641484678,0.390498034076016,0.450738681199784,0.20316535872972
"XGBoost_grid__1_AutoML_20200310_084744_model_7",0.623776758409786,0.760897229062598,0.380199932516344,0.428680646570555,0.498704210755629,0.248705889825395
"DeepLearning_grid__3_AutoML_20200310_084744_model_1",0.622597204019222,0.79895741100872,0.425687199105848,0.400753604193971,0.478228205005878,0.228702216063144
"GBM_grid__1_AutoML_20200310_084744_model_4",0.620532983835736,0.69384087705969,0.388224983754444,0.423088685015291,0.474864509916086,0.225496302777844
"GBM_grid__1_AutoML_20200310_084744_model_8",0.619833988641328,0.599128400624451,0.397485298752905,0.393064657055483,0.45187913754255,0.204194754946199
"DeepLearning_grid__2_AutoML_20200310_084744_model_8",0.619484491044124,0.632928391288075,0.397220219662916,0.397204019222368,0.461855418441823,0.213310427544071
"DeepLearning_grid__1_AutoML_20200310_084744_model_7",0.616644823066841,0.74978278026536,0.383021704606252,0.402774137177807,0.45933810805072,0.210991497507615
"DeepLearning_grid__3_AutoML_20200310_084744_model_4",0.615978593272171,0.633181826526002,0.412616741292569,0.423143294014854,0.460599165368334,0.212151591138006
"DeepLearning_grid__2_AutoML_20200310_084744_model_3",0.615596330275229,0.638354517908384,0.363573081812455,0.378822629969419,0.466431513669987,0.217558356944475
"GBM_4_AutoML_20200310_084744",0.614744429882045,0.597852633715823,0.416543277752654,0.405286151157711,0.451136950064834,0.2035245477138
"DRF_1_AutoML_20200310_084744",0.612177806902578,0.598671293589331,0.409643463573005,0.414482306684142,0.450683958564934,0.203116030507759
"XGBoost_grid__1_AutoML_20200310_084744_model_1",0.61214504150284,0.592506177817667,0.425247509244044,0.428713411970293,0.449214481649006,0.201793650523185
"GBM_3_AutoML_20200310_084744",0.607972913936217,0.609879184556384,0.391258848714165,0.389471384884229,0.455615361425092,0.207585357566517
